service,Value,Percentage,service_long
USE_AORO,Never,17.6,Access_to_online_resources_from_off-campus
USE_AORO,Once or twice a semester,17.6,Access_to_online_resources_from_off-campus
USE_AORO,One to three times a month,13.5,Access_to_online_resources_from_off-campus
USE_AORO,One to three times a week,9.5,Access_to_online_resources_from_off-campus
USE_AORO,More than three times a week,41.9,Access_to_online_resources_from_off-campus
USE_CFUS,Never,72.2,Copyright_and_Fair_Use_support
USE_CFUS,Once or twice a semester,25.0,Copyright_and_Fair_Use_support
USE_CFUS,One to three times a month,1.4,Copyright_and_Fair_Use_support
USE_CFUS,More than three times a week,1.4,Copyright_and_Fair_Use_support
USE_CMS,Never,6.8,Canvas
USE_CMS,Once or twice a semester,2.7,Canvas
USE_CMS,One to three times a month,1.4,Canvas
USE_CMS,One to three times a week,9.5,Canvas
USE_CMS,More than three times a week,79.7,Canvas
USE_CMSAS,Never,22.2,Canvas_assignment_submission
USE_CMSAS,Once or twice a semester,2.8,Canvas_assignment_submission
USE_CMSAS,One to three times a month,8.3,Canvas_assignment_submission
USE_CMSAS,One to three times a week,25.0,Canvas_assignment_submission
USE_CMSAS,More than three times a week,41.7,Canvas_assignment_submission
USE_CMSGB,Never,47.9,Canvas_grade_book
USE_CMSGB,Once or twice a semester,5.6,Canvas_grade_book
USE_CMSGB,One to three times a month,8.5,Canvas_grade_book
USE_CMSGB,One to three times a week,11.3,Canvas_grade_book
USE_CMSGB,More than three times a week,26.8,Canvas_grade_book
USE_CMSOQ,Never,60.9,Canvas_online_quizzes
USE_CMSOQ,Once or twice a semester,15.9,Canvas_online_quizzes
USE_CMSOQ,One to three times a month,10.1,Canvas_online_quizzes
USE_CMSOQ,One to three times a week,5.8,Canvas_online_quizzes
USE_CMSOQ,More than three times a week,7.2,Canvas_online_quizzes
USE_CS,Never,40.0,Online_collaborative_software
USE_CS,Once or twice a semester,11.4,Online_collaborative_software
USE_CS,One to three times a month,10.0,Online_collaborative_software
USE_CS,One to three times a week,14.3,Online_collaborative_software
USE_CS,More than three times a week,24.3,Online_collaborative_software
USE_FPC,Never,16.2,Technology_help_desk
USE_FPC,Once or twice a semester,58.1,Technology_help_desk
USE_FPC,One to three times a month,20.3,Technology_help_desk
USE_FPC,One to three times a week,5.4,Technology_help_desk
USE_GAIT,Never,28.8,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
USE_GAIT,Once or twice a semester,21.9,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
USE_GAIT,One to three times a month,21.9,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
