service,Value,Percentage,service_long
INF_AAT,Not Informed,31.7,Availability_of_assistive_technologies_to_address_disabilities
INF_AAT,Somewhat Informed,33.9,Availability_of_assistive_technologies_to_address_disabilities
INF_AAT,Informed,25.9,Availability_of_assistive_technologies_to_address_disabilities
INF_AAT,Very Informed,8.5,Availability_of_assistive_technologies_to_address_disabilities
INF_ALS,Not Informed,8.8,Available_library_services
INF_ALS,Somewhat Informed,42.3,Available_library_services
INF_ALS,Informed,37.0,Available_library_services
INF_ALS,Very Informed,11.9,Available_library_services
INF_ATRW,Not Informed,20.7,Availability_of_technology_learning_resources_and_workshops
INF_ATRW,Somewhat Informed,41.9,Availability_of_technology_learning_resources_and_workshops
INF_ATRW,Informed,27.8,Availability_of_technology_learning_resources_and_workshops
INF_ATRW,Very Informed,9.7,Availability_of_technology_learning_resources_and_workshops
INF_ATS,Not Informed,14.9,Available_technology_services
INF_ATS,Somewhat Informed,39.5,Available_technology_services
INF_ATS,Informed,35.5,Available_technology_services
INF_ATS,Very Informed,10.1,Available_technology_services
INF_CLN,Not Informed,14.5,Who_to_contact_for_your_library_needs
INF_CLN,Somewhat Informed,37.4,Who_to_contact_for_your_library_needs
INF_CLN,Informed,36.6,Who_to_contact_for_your_library_needs
INF_CLN,Very Informed,11.5,Who_to_contact_for_your_library_needs
INF_GAIT,Not Informed,19.6,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
INF_GAIT,Somewhat Informed,33.8,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
INF_GAIT,Informed,35.1,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
INF_GAIT,Very Informed,11.6,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
INF_RMLC,Not Informed,31.7,How_to_request_materials_be_added_to_the_library_collection
INF_RMLC,Somewhat Informed,37.0,How_to_request_materials_be_added_to_the_library_collection
INF_RMLC,Informed,23.8,How_to_request_materials_be_added_to_the_library_collection
INF_RMLC,Very Informed,7.5,How_to_request_materials_be_added_to_the_library_collection
