service,median,service_long
AAG_ASM,4,How_much_do_the_following_contribute_to_the_achievement_of_your_academic_goals?_-_Ability_to_access_scholarly_materials_from_wherever_you_are
AAG_LS,3,How_much_do_the_following_contribute_to_the_achievement_of_your_academic_goals?_-_Library_spaces
AAG_PDLC,3,How_much_do_the_following_contribute_to_the_achievement_of_your_academic_goals?_-_Physical_and_digital_library_collections
AAG_TUC,4,How_much_do_the_following_contribute_to_the_achievement_of_your_academic_goals?_-_Technology_used_in_courses_and_classrooms
AAG_WL,3,How_much_do_the_following_contribute_to_the_achievement_of_your_academic_goals?_-_Working_with_librarians
AP_CMS,3,How_do_you_use_the_following_tools__if_at_all?_-_Citation_management_software
AP_GAIT,3,How_do_you_use_the_following_tools__if_at_all?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
AREM,2,Do_you_attend_your_classes_in-person_on_campus_or_remotely?
DALC_F,4,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_library_circulation_staff?_-_Friendly
DALC_K,4,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_library_circulation_staff?_-_Knowledgeable
DALC_RL,4,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_library_circulation_staff?_-_Reliable
DALC_RS,4,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_library_circulation_staff?_-_Responsive
DALR_F,4,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_library_reference_research_staff?_-_Friendly
DALR_K,4,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_library_reference_research_staff?_-_Knowledgeable
DALR_RL,4,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_library_reference_research_staff?_-_Reliable
DALR_RS,4,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_library_reference_research_staff?_-_Responsive
DS_AWAC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Availability_of_wireless_access_on_campus
DS_BL,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_laptops
DS_BTE,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_technology_equipment
DS_CFCPS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk_schedule
DS_CMS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Canvas
DS_CMSAS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Canvas_assignment_submission
DS_CMSGB,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Canvas_grade_book
DS_CMSOQ,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Canvas_online_quizzes
DS_CMSS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Canvas_support
DS_CS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Online_collaborative_software
DS_FPC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk
DS_GAIT,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
DS_GSSL,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Group_study_spaces_in_the_library
DS_ILL,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Interlibrary_loan
DS_LC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Physical_library_collections
DS_LDB,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_databases_(e.g._JSTOR)
DS_LDL,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_LibrarySearch_(go_primoca)
DS_LEC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_e-book_collections
DS_LIAC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_research_instruction_for_academic_courses
DS_LRS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_reference_research_services
DS_LSG,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_subject_guides
DS_LSSR,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_support_for_your_scholarly_research
DS_LWS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_Web_site_(e.g._library_hours__policies)
DS_OCS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Overall_computing_service
DS_OLS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Overall_library_service
DS_PCIL,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Physical_comfort_in_the_library_(e.g._seating__lighting)
DS_PCL,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Public_computers_in_the_library
DS_PWAC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Performance_of_wireless_access_on_campus
DS_QWSL,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Quiet_work_space_in_the_library
DS_RVLC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Range_of_viewpoints_represented_in_the_library's_collections
DS_SDAV,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_digital_audio_video_creation
DS_SGAIT,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_the_use_of_Generative_AI_Tools_(e.g.__ChatGPT__Bard__ChatPDF)
IMP_AWAC,4,How_important_are_these_services_to_you?_-_Availability_of_wireless_access_on_campus
