service,Value,Percentage,service_long
LRN_CMS,Not Interested,31.7,Canvas
LRN_CMS,Somewhat Interested,29.4,Canvas
LRN_CMS,Interested,26.7,Canvas
LRN_CMS,Very Interested,12.2,Canvas
LRN_GAIT,Not Interested,12.2,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
LRN_GAIT,Somewhat Interested,20.3,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
LRN_GAIT,Interested,32.9,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
LRN_GAIT,Very Interested,34.7,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
LRN_LDB,Not Interested,13.1,Library_databases_(e.g._JSTOR)
LRN_LDB,Somewhat Interested,31.1,Library_databases_(e.g._JSTOR)
LRN_LDB,Interested,36.9,Library_databases_(e.g._JSTOR)
LRN_LDB,Very Interested,18.9,Library_databases_(e.g._JSTOR)
LRN_LDL,Not Interested,14.0,LibrarySearch_(go_primoca)
LRN_LDL,Somewhat Interested,33.3,LibrarySearch_(go_primoca)
LRN_LDL,Interested,36.5,LibrarySearch_(go_primoca)
LRN_LDL,Very Interested,16.2,LibrarySearch_(go_primoca)
LRN_OOO,Not Interested,25.7,Learning_new_skills__One-on-one_instruction
LRN_OOO,Somewhat Interested,29.8,Learning_new_skills__One-on-one_instruction
LRN_OOO,Interested,28.9,Learning_new_skills__One-on-one_instruction
LRN_OOO,Very Interested,15.6,Learning_new_skills__One-on-one_instruction
LRN_PGL,Not Interested,26.5,Learning_new_skills__Peer_group_learning
LRN_PGL,Somewhat Interested,33.5,Learning_new_skills__Peer_group_learning
LRN_PGL,Interested,27.9,Learning_new_skills__Peer_group_learning
LRN_PGL,Very Interested,12.1,Learning_new_skills__Peer_group_learning
LRN_SDD,Not Interested,19.5,Learning_new_skills__Self-directed_with_documentation
LRN_SDD,Somewhat Interested,24.2,Learning_new_skills__Self-directed_with_documentation
LRN_SDD,Interested,39.5,Learning_new_skills__Self-directed_with_documentation
LRN_SDD,Very Interested,16.7,Learning_new_skills__Self-directed_with_documentation
LRN_SDOT,Not Interested,12.8,Learning_new_skills__Self-directed_with_online_tutorial
LRN_SDOT,Somewhat Interested,23.7,Learning_new_skills__Self-directed_with_online_tutorial
LRN_SDOT,Interested,41.6,Learning_new_skills__Self-directed_with_online_tutorial
LRN_SDOT,Very Interested,21.9,Learning_new_skills__Self-directed_with_online_tutorial
LRN_TE,Not Interested,26.5,Learning_new_skills__Trial_and_error
LRN_TE,Somewhat Interested,36.3,Learning_new_skills__Trial_and_error
LRN_TE,Interested,26.0,Learning_new_skills__Trial_and_error
LRN_TE,Very Interested,11.2,Learning_new_skills__Trial_and_error
LRN_WTS,Not Interested,13.4,Learning_new_skills__Workshop_Training_Session
LRN_WTS,Somewhat Interested,25.3,Learning_new_skills__Workshop_Training_Session
LRN_WTS,Interested,42.4,Learning_new_skills__Workshop_Training_Session
LRN_WTS,Very Interested,18.9,Learning_new_skills__Workshop_Training_Session
