service,Value,Percentage,service_long
DS_AWAC,Dissatisfied,0.6,Availability_of_wireless_access_on_campus
DS_AWAC,Somewhat Dissatisfied,2.3,Availability_of_wireless_access_on_campus
DS_AWAC,Somewhat Satisfied,16.2,Availability_of_wireless_access_on_campus
DS_AWAC,Satisfied,80.9,Availability_of_wireless_access_on_campus
DS_BL,Dissatisfied,2.2,Borrowing_laptops
DS_BL,Somewhat Dissatisfied,1.1,Borrowing_laptops
DS_BL,Somewhat Satisfied,24.4,Borrowing_laptops
DS_BL,Satisfied,72.2,Borrowing_laptops
DS_BTE,Dissatisfied,2.8,Borrowing_technology_equipment
DS_BTE,Somewhat Dissatisfied,2.8,Borrowing_technology_equipment
DS_BTE,Somewhat Satisfied,21.3,Borrowing_technology_equipment
DS_BTE,Satisfied,73.1,Borrowing_technology_equipment
DS_CFCPS,Dissatisfied,1.3,Technology_help_desk_schedule
DS_CFCPS,Somewhat Dissatisfied,1.9,Technology_help_desk_schedule
DS_CFCPS,Somewhat Satisfied,23.7,Technology_help_desk_schedule
DS_CFCPS,Satisfied,73.1,Technology_help_desk_schedule
DS_CMS,Dissatisfied,0.4,Canvas
DS_CMS,Somewhat Dissatisfied,3.5,Canvas
DS_CMS,Somewhat Satisfied,14.1,Canvas
DS_CMS,Satisfied,81.9,Canvas
DS_CMSAS,Dissatisfied,0.9,Canvas_assignment_submission
DS_CMSAS,Somewhat Dissatisfied,2.7,Canvas_assignment_submission
DS_CMSAS,Somewhat Satisfied,16.1,Canvas_assignment_submission
DS_CMSAS,Satisfied,80.3,Canvas_assignment_submission
DS_CMSGB,Dissatisfied,1.0,Canvas_grade_book
DS_CMSGB,Somewhat Dissatisfied,4.5,Canvas_grade_book
DS_CMSGB,Somewhat Satisfied,21.2,Canvas_grade_book
DS_CMSGB,Satisfied,73.2,Canvas_grade_book
DS_CMSOQ,Dissatisfied,1.0,Canvas_online_quizzes
DS_CMSOQ,Somewhat Dissatisfied,3.1,Canvas_online_quizzes
DS_CMSOQ,Somewhat Satisfied,18.7,Canvas_online_quizzes
DS_CMSOQ,Satisfied,77.2,Canvas_online_quizzes
DS_CMSS,Dissatisfied,1.0,Canvas_support
DS_CMSS,Somewhat Dissatisfied,4.2,Canvas_support
DS_CMSS,Somewhat Satisfied,17.3,Canvas_support
DS_CMSS,Satisfied,77.5,Canvas_support
DS_CS,Dissatisfied,1.0,Online_collaborative_software
DS_CS,Somewhat Dissatisfied,2.5,Online_collaborative_software
DS_CS,Somewhat Satisfied,19.8,Online_collaborative_software
DS_CS,Satisfied,76.6,Online_collaborative_software
DS_FPC,Dissatisfied,1.2,Technology_help_desk
DS_FPC,Somewhat Dissatisfied,1.2,Technology_help_desk
DS_FPC,Somewhat Satisfied,23.0,Technology_help_desk
DS_FPC,Satisfied,74.5,Technology_help_desk
DS_GAIT,Dissatisfied,1.7,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
DS_GAIT,Somewhat Dissatisfied,3.9,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
DS_GAIT,Somewhat Satisfied,29.8,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
DS_GAIT,Satisfied,64.6,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
DS_GSSL,Dissatisfied,3.1,Group_study_spaces_in_the_library
DS_GSSL,Somewhat Dissatisfied,6.2,Group_study_spaces_in_the_library
DS_GSSL,Somewhat Satisfied,21.6,Group_study_spaces_in_the_library
DS_GSSL,Satisfied,69.1,Group_study_spaces_in_the_library
DS_ILL,Dissatisfied,2.2,Interlibrary_loan
DS_ILL,Somewhat Dissatisfied,2.2,Interlibrary_loan
DS_ILL,Somewhat Satisfied,28.5,Interlibrary_loan
DS_ILL,Satisfied,67.2,Interlibrary_loan
DS_LC,Dissatisfied,3.7,Physical_library_collections
DS_LC,Somewhat Dissatisfied,4.3,Physical_library_collections
DS_LC,Somewhat Satisfied,29.4,Physical_library_collections
DS_LC,Satisfied,62.6,Physical_library_collections
DS_LDB,Dissatisfied,1.7,Library_databases_(e.g._JSTOR)
DS_LDB,Somewhat Dissatisfied,2.2,Library_databases_(e.g._JSTOR)
DS_LDB,Somewhat Satisfied,27.4,Library_databases_(e.g._JSTOR)
DS_LDB,Satisfied,68.7,Library_databases_(e.g._JSTOR)
DS_LDL,Dissatisfied,3.1,LibrarySearch_(go_primoca)
DS_LDL,Somewhat Dissatisfied,4.4,LibrarySearch_(go_primoca)
DS_LDL,Somewhat Satisfied,29.6,LibrarySearch_(go_primoca)
DS_LDL,Satisfied,62.9,LibrarySearch_(go_primoca)
DS_LEC,Dissatisfied,2.2,Library_e-book_collections
DS_LEC,Somewhat Dissatisfied,6.1,Library_e-book_collections
DS_LEC,Somewhat Satisfied,26.5,Library_e-book_collections
DS_LEC,Satisfied,65.2,Library_e-book_collections
DS_LIAC,Dissatisfied,1.2,Library_research_instruction_for_academic_courses
DS_LIAC,Somewhat Dissatisfied,7.6,Library_research_instruction_for_academic_courses
DS_LIAC,Somewhat Satisfied,25.7,Library_research_instruction_for_academic_courses
DS_LIAC,Satisfied,65.5,Library_research_instruction_for_academic_courses
DS_LRS,Dissatisfied,1.6,Library_reference_research_services
DS_LRS,Somewhat Dissatisfied,4.7,Library_reference_research_services
DS_LRS,Somewhat Satisfied,28.3,Library_reference_research_services
DS_LRS,Satisfied,65.4,Library_reference_research_services
DS_LSG,Dissatisfied,2.0,Library_subject_guides
DS_LSG,Somewhat Dissatisfied,5.9,Library_subject_guides
DS_LSG,Somewhat Satisfied,29.4,Library_subject_guides
DS_LSG,Satisfied,62.7,Library_subject_guides
DS_LSSR,Dissatisfied,1.8,Library_support_for_your_scholarly_research
DS_LSSR,Somewhat Dissatisfied,5.3,Library_support_for_your_scholarly_research
DS_LSSR,Somewhat Satisfied,26.3,Library_support_for_your_scholarly_research
DS_LSSR,Satisfied,66.7,Library_support_for_your_scholarly_research
DS_LWS,Dissatisfied,1.0,Library_Web_site_(e.g._library_hours__policies)
DS_LWS,Somewhat Dissatisfied,2.1,Library_Web_site_(e.g._library_hours__policies)
DS_LWS,Somewhat Satisfied,22.5,Library_Web_site_(e.g._library_hours__policies)
DS_LWS,Satisfied,74.3,Library_Web_site_(e.g._library_hours__policies)
DS_OCS,Dissatisfied,1.7,Overall_computing_service
DS_OCS,Somewhat Dissatisfied,2.2,Overall_computing_service
DS_OCS,Somewhat Satisfied,21.3,Overall_computing_service
DS_OCS,Satisfied,74.7,Overall_computing_service
DS_OLS,Dissatisfied,2.6,Overall_library_service
DS_OLS,Somewhat Dissatisfied,1.6,Overall_library_service
DS_OLS,Somewhat Satisfied,18.7,Overall_library_service
DS_OLS,Satisfied,77.2,Overall_library_service
DS_PCIL,Dissatisfied,1.2,Physical_comfort_in_the_library_(e.g._seating__lighting)
DS_PCIL,Somewhat Dissatisfied,7.6,Physical_comfort_in_the_library_(e.g._seating__lighting)
DS_PCIL,Somewhat Satisfied,23.8,Physical_comfort_in_the_library_(e.g._seating__lighting)
DS_PCIL,Satisfied,67.4,Physical_comfort_in_the_library_(e.g._seating__lighting)
DS_PCL,Dissatisfied,1.4,Public_computers_in_the_library
DS_PCL,Somewhat Dissatisfied,2.8,Public_computers_in_the_library
DS_PCL,Somewhat Satisfied,17.7,Public_computers_in_the_library
DS_PCL,Satisfied,78.0,Public_computers_in_the_library
DS_PWAC,Dissatisfied,0.5,Performance_of_wireless_access_on_campus
DS_PWAC,Somewhat Dissatisfied,6.3,Performance_of_wireless_access_on_campus
DS_PWAC,Somewhat Satisfied,17.9,Performance_of_wireless_access_on_campus
DS_PWAC,Satisfied,75.3,Performance_of_wireless_access_on_campus
DS_QWSL,Dissatisfied,2.4,Quiet_work_space_in_the_library
DS_QWSL,Somewhat Dissatisfied,4.7,Quiet_work_space_in_the_library
DS_QWSL,Somewhat Satisfied,15.3,Quiet_work_space_in_the_library
DS_QWSL,Satisfied,77.6,Quiet_work_space_in_the_library
DS_RVLC,Dissatisfied,2.4,Range_of_viewpoints_represented_in_the_library's_collections
DS_RVLC,Somewhat Dissatisfied,1.8,Range_of_viewpoints_represented_in_the_library's_collections
DS_RVLC,Somewhat Satisfied,24.8,Range_of_viewpoints_represented_in_the_library's_collections
DS_RVLC,Satisfied,70.9,Range_of_viewpoints_represented_in_the_library's_collections
DS_SDAV,Dissatisfied,1.6,Support_for_digital_audio_video_creation
DS_SDAV,Somewhat Dissatisfied,2.1,Support_for_digital_audio_video_creation
DS_SDAV,Somewhat Satisfied,22.3,Support_for_digital_audio_video_creation
DS_SDAV,Satisfied,73.9,Support_for_digital_audio_video_creation
DS_SGAIT,Dissatisfied,3.0,Support_for_the_use_of_Generative_AI_Tools_(e.g.__ChatGPT__Bard__ChatPDF)
DS_SGAIT,Somewhat Dissatisfied,9.8,Support_for_the_use_of_Generative_AI_Tools_(e.g.__ChatGPT__Bard__ChatPDF)
DS_SGAIT,Somewhat Satisfied,31.1,Support_for_the_use_of_Generative_AI_Tools_(e.g.__ChatGPT__Bard__ChatPDF)
DS_SGAIT,Satisfied,56.1,Support_for_the_use_of_Generative_AI_Tools_(e.g.__ChatGPT__Bard__ChatPDF)
