service,...1,Value,Percentage,service_long
AP_GAIT,1,1,6.56370656370656,How_do_you_use_the_following_tools__if_at_all?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
AP_GAIT,2,2,8.10810810810811,How_do_you_use_the_following_tools__if_at_all?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
AP_GAIT,3,3,12.7413127413127,How_do_you_use_the_following_tools__if_at_all?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
AP_GAIT,4,4,5.79150579150579,How_do_you_use_the_following_tools__if_at_all?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
AP_GAIT,5,5,3.08880308880309,How_do_you_use_the_following_tools__if_at_all?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
AP_GAIT,6,9,63.7065637065637,How_do_you_use_the_following_tools__if_at_all?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
DAIT_F,1,1,1.08695652173913,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Friendly
DAIT_F,2,2,3.26086956521739,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Friendly
DAIT_F,3,3,8.69565217391304,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Friendly
DAIT_F,4,4,86.9565217391304,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Friendly
DAIT_K,1,1,2.71739130434783,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Knowledgeable
DAIT_K,2,2,9.23913043478261,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Knowledgeable
DAIT_K,3,3,11.9565217391304,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Knowledgeable
DAIT_K,4,4,76.0869565217391,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Knowledgeable
DAIT_RL,1,1,1.0989010989011,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Reliable
DAIT_RL,2,2,6.59340659340659,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Reliable
DAIT_RL,3,3,16.4835164835165,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Reliable
DAIT_RL,4,4,75.8241758241758,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Reliable
DAIT_RS,1,1,3.31491712707182,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Responsive
DAIT_RS,2,2,4.41988950276243,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Responsive
DAIT_RS,3,3,16.0220994475138,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Responsive
DAIT_RS,4,4,76.2430939226519,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Responsive
DS_AFTM,1,1,4.08163265306122,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Access_to_free_or_low_cost_course_textbooks_and_other_materials
DS_AFTM,2,2,13.265306122449,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Access_to_free_or_low_cost_course_textbooks_and_other_materials
DS_AFTM,3,3,41.3265306122449,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Access_to_free_or_low_cost_course_textbooks_and_other_materials
DS_AFTM,4,4,41.3265306122449,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Access_to_free_or_low_cost_course_textbooks_and_other_materials
DS_AWAC,1,1,0.8,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Availability_of_wireless_access_on_campus
DS_AWAC,2,2,6.8,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Availability_of_wireless_access_on_campus
DS_AWAC,3,3,27.2,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Availability_of_wireless_access_on_campus
DS_AWAC,4,4,65.2,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Availability_of_wireless_access_on_campus
DS_BL,1,1,3.07692307692308,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_laptops
DS_BL,2,2,3.84615384615385,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_laptops
DS_BL,3,3,13.0769230769231,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_laptops
DS_BL,4,4,80,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_laptops
DS_BTE,1,2,1.85185185185185,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_technology_equipment
DS_BTE,2,3,17.283950617284,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_technology_equipment
DS_BTE,3,4,80.8641975308642,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_technology_equipment
