service,...2,Value,Percentage,service_long
INF_AATD,1,1,33.203125,How_informed_do_you_feel_you_are_about_the_following?_-_Availability_of_assistive_technologies_to_address_disabilities
INF_AATD,2,2,46.875,How_informed_do_you_feel_you_are_about_the_following?_-_Availability_of_assistive_technologies_to_address_disabilities
INF_AATD,3,3,16.40625,How_informed_do_you_feel_you_are_about_the_following?_-_Availability_of_assistive_technologies_to_address_disabilities
INF_AATD,4,4,3.515625,How_informed_do_you_feel_you_are_about_the_following?_-_Availability_of_assistive_technologies_to_address_disabilities
INF_ALS,1,1,4.21455938697318,How_informed_do_you_feel_you_are_about_the_following?_-_Available_library_services
INF_ALS,2,2,40.6130268199234,How_informed_do_you_feel_you_are_about_the_following?_-_Available_library_services
INF_ALS,3,3,44.4444444444444,How_informed_do_you_feel_you_are_about_the_following?_-_Available_library_services
INF_ALS,4,4,10.727969348659,How_informed_do_you_feel_you_are_about_the_following?_-_Available_library_services
INF_ATRW,1,1,10.8108108108108,How_informed_do_you_feel_you_are_about_the_following?_-_Availability_of_technology_learning_resources_and_workshops
INF_ATRW,2,2,46.3320463320463,How_informed_do_you_feel_you_are_about_the_following?_-_Availability_of_technology_learning_resources_and_workshops
INF_ATRW,3,3,35.9073359073359,How_informed_do_you_feel_you_are_about_the_following?_-_Availability_of_technology_learning_resources_and_workshops
INF_ATRW,4,4,6.94980694980695,How_informed_do_you_feel_you_are_about_the_following?_-_Availability_of_technology_learning_resources_and_workshops
INF_ATS,1,1,4.19847328244275,How_informed_do_you_feel_you_are_about_the_following?_-_Available_technology_services
INF_ATS,2,2,46.1832061068702,How_informed_do_you_feel_you_are_about_the_following?_-_Available_technology_services
INF_ATS,3,3,42.7480916030534,How_informed_do_you_feel_you_are_about_the_following?_-_Available_technology_services
INF_ATS,4,4,6.87022900763359,How_informed_do_you_feel_you_are_about_the_following?_-_Available_technology_services
INF_CITN,1,1,13.3587786259542,How_informed_do_you_feel_you_are_about_the_following?_-_Who_to_contact_for_your_instructional_technology_needs
INF_CITN,2,2,47.3282442748092,How_informed_do_you_feel_you_are_about_the_following?_-_Who_to_contact_for_your_instructional_technology_needs
INF_CITN,3,3,31.6793893129771,How_informed_do_you_feel_you_are_about_the_following?_-_Who_to_contact_for_your_instructional_technology_needs
INF_CITN,4,4,7.63358778625954,How_informed_do_you_feel_you_are_about_the_following?_-_Who_to_contact_for_your_instructional_technology_needs
INF_GAIT,1,1,39.3822393822394,How_informed_do_you_feel_you_are_about_the_following?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
INF_GAIT,2,2,38.6100386100386,How_informed_do_you_feel_you_are_about_the_following?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
INF_GAIT,3,3,15.8301158301158,How_informed_do_you_feel_you_are_about_the_following?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
INF_GAIT,4,4,6.17760617760618,How_informed_do_you_feel_you_are_about_the_following?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
