service,median,service_long
AP_GAIT,9,How_do_you_use_the_following_tools__if_at_all?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
DAIT_F,4,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Friendly
DAIT_K,4,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Knowledgeable
DAIT_RL,4,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Reliable
DAIT_RS,4,How_strongly_do_you_disagree_or_agree_with_the_following_statements_with_regard_to_the_DLNIQ_staff?_-_Responsive
DS_AFTM,3,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Access_to_free_or_low_cost_course_textbooks_and_other_materials
DS_AWAC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Availability_of_wireless_access_on_campus
DS_BL,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_laptops
DS_BTE,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_technology_equipment
DS_CCL,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Campus_computing_labs
DS_CFCPS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk_schedule
DS_CMS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Canvas
DS_CMSS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Canvas_support
DS_CS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Online_collaborative_software_(e.g._Teams__Google_Drive_or_Office_365)
DS_DASS,3,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Data_analysis_support_services
DS_DHDS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Digital_Scholarship_Digital_Humanities_services
DS_ELCS,3,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Ease_of_logging_into_campus_systems
DS_FPC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk
DS_GAIT,3,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
DS_HDTS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk_ticketing_system
DS_HPC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_High_performance_computing
DS_ICDA,3,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Your_input_into_computing_decisions_that_affect_you
DS_IDS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_DLINQ_Instructional_Design_consultations_or_workshops
DS_ILDA,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Your_input_into_library_decisions_that_affect_you
DS_IPFS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Institutionally_provided_network_&_cloud_file_storage
DS_ITS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Instructional_technology_support
DS_LDB,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_databases_(e.g._JSTOR__Electronic_Journals)
DS_LDL,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_LibrarySearch_(go_primo)
DS_LIAC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_research_instruction_for_academic_courses
DS_LSG,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_Subject_Guides_(go_guides)
DS_LSSR,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_support_for_your_scholarly_research
DS_LSSSR,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_support_for_your_students'_scholarly_research
DS_PWAC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Performance_of_wireless_access_on_campus
DS_RCTN,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Responsiveness_to_your_changing_information_technology_needs
DS_SDCP,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_when_you_have_a_desktop_laptop_computing_problem
DS_SGAIT,3,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_the_use_of_Generative_AI_Tools_(e.g.__ChatGPT__Bard__ChatPDF)
DS_SSCN,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_your_specialized_computing_needs
DS_STMS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_technology_in_meeting_spaces_classrooms
DS_TMS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_in_meeting_spaces_classrooms
DS_TRCTP,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_The_time_it_takes_to_resolve_your_classroom_technology_problems
DS_TRDCP,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_The_time_it_takes_to_resolve_your_desktop_laptop_computing_problems
FTIME,1,Are_you_considered_a_full-time_employee_of_Middlebury_College_for_at_least_nine_months_of_the_current_academic_year?
IMP_AFTM,4,How_important_are_these_services_to_you?_-_Access_to_free_or_low_cost_course_textbooks_and_other_materials
IMP_AWAC,4,How_important_are_these_services_to_you?_-_Availability_of_wireless_access_on_campus
IMP_BL,2,How_important_are_these_services_to_you?_-_Borrowing_laptops
IMP_BTE,3,How_important_are_these_services_to_you?_-_Borrowing_technology_equipment
IMP_CCL,2,How_important_are_these_services_to_you?_-_Campus_computing_labs
IMP_CFCPS,4,How_important_are_these_services_to_you?_-_Technology_help_desk_schedule
IMP_CMS,4,How_important_are_these_services_to_you?_-_Canvas
IMP_CMSS,3,How_important_are_these_services_to_you?_-_Canvas_support
IMP_CS,4,How_important_are_these_services_to_you?_-_Online_collaborative_software_(e.g._Teams__Google_Drive_or_Office_365)
IMP_DASS,1,How_important_are_these_services_to_you?_-_Data_analysis_support_services
IMP_DHDS,2,How_important_are_these_services_to_you?_-_Digital_Scholarship_Digital_Humanities_services
IMP_ELCS,4,How_important_are_these_services_to_you?_-_Ease_of_logging_into_campus_systems
IMP_FPC,4,How_important_are_these_services_to_you?_-_Technology_help_desk
IMP_GAIT,1,How_important_are_these_services_to_you?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
IMP_HDTS,4,How_important_are_these_services_to_you?_-_Technology_help_desk_ticketing_system
IMP_HPC,1,How_important_are_these_services_to_you?_-_High_performance_computing
IMP_ICDA,3,How_important_are_these_services_to_you?_-_Your_input_into_computing_decisions_that_affect_you
IMP_IDS,2,How_important_are_these_services_to_you?_-_DLINQ_Instructional_Design_consultations_or_workshops
IMP_ILDA,3,How_important_are_these_services_to_you?_-_Your_input_into_library_decisions_that_affect_you
IMP_IPFS,4,How_important_are_these_services_to_you?_-_Institutionally_provided_network_&_cloud_file_storage
IMP_ITS,3,How_important_are_these_services_to_you?_-_Instructional_technology_support
IMP_LDB,4,How_important_are_these_services_to_you?_-_Library_databases_(e.g._JSTOR__Electronic_Journals)
IMP_LDL,3,How_important_are_these_services_to_you?_-_LibrarySearch_(go_primo)
IMP_LIAC,3,How_important_are_these_services_to_you?_-_Library_research_instruction_for_academic_courses
IMP_LSG,2,How_important_are_these_services_to_you?_-_Library_Subject_Guides_(go_guides)
IMP_LSSR,3,How_important_are_these_services_to_you?_-_Library_support_for_your_scholarly_research
IMP_LSSSR,4,How_important_are_these_services_to_you?_-_Library_support_for_your_students'_scholarly_research
IMP_PWAC,4,How_important_are_these_services_to_you?_-_Performance_of_wireless_access_on_campus
IMP_RCTN,4,How_important_are_these_services_to_you?_-_Responsiveness_to_your_changing_information_technology_needs
IMP_SDCP,4,How_important_are_these_services_to_you?_-_Support_when_you_have_a_desktop_laptop_computing_problem
IMP_SGAIT,1,How_important_are_these_services_to_you?_-_Support_for_the_use_of_Generative_AI_Tools_(e.g.__ChatGPT__Bard__ChatPDF)
IMP_SSCN,3,How_important_are_these_services_to_you?_-_Support_for_your_specialized_computing_needs
IMP_STMS,4,How_important_are_these_services_to_you?_-_Support_for_technology_in_meeting_spaces_classrooms
IMP_TMS,4,How_important_are_these_services_to_you?_-_Technology_in_meeting_spaces_classrooms
IMP_TRCTP,4,How_important_are_these_services_to_you?_-_The_time_it_takes_to_resolve_your_classroom_technology_problems
IMP_TRDCP,4,How_important_are_these_services_to_you?_-_The_time_it_takes_to_resolve_your_desktop_laptop_computing_problems
INF_AATD,2,How_informed_do_you_feel_you_are_about_the_following?_-_Availability_of_assistive_technologies_to_address_disabilities
INF_ALS,3,How_informed_do_you_feel_you_are_about_the_following?_-_Available_library_services
INF_ATRW,2,How_informed_do_you_feel_you_are_about_the_following?_-_Availability_of_technology_learning_resources_and_workshops
INF_ATS,2,How_informed_do_you_feel_you_are_about_the_following?_-_Available_technology_services
INF_CITN,2,How_informed_do_you_feel_you_are_about_the_following?_-_Who_to_contact_for_your_instructional_technology_needs
INF_GAIT,2,How_informed_do_you_feel_you_are_about_the_following?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
LRN_CMS,2,How_interested_are_you_in_learning_more_about_the_following?_-_Canvas
LRN_GAIT,2,How_interested_are_you_in_learning_more_about_the_following?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
