service,...2,Value,Percentage,service_long
USE_BL,1,1,73.2851985559567,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Borrowing_laptops
USE_BL,2,2,23.1046931407942,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Borrowing_laptops
USE_BL,3,3,2.16606498194946,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Borrowing_laptops
USE_BL,4,4,0.36101083032491,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Borrowing_laptops
USE_BL,5,5,1.08303249097473,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Borrowing_laptops
USE_BTE,1,1,56.4285714285714,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Borrowing_technology_equipment
USE_BTE,2,2,37.1428571428571,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Borrowing_technology_equipment
USE_BTE,3,3,3.57142857142857,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Borrowing_technology_equipment
USE_BTE,4,4,2.14285714285714,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Borrowing_technology_equipment
USE_BTE,5,5,0.714285714285714,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Borrowing_technology_equipment
USE_CCL,1,1,76.7025089605735,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Campus_computing_labs
USE_CCL,2,2,12.9032258064516,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Campus_computing_labs
USE_CCL,3,3,4.3010752688172,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Campus_computing_labs
USE_CCL,4,4,4.6594982078853,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Campus_computing_labs
USE_CCL,5,5,1.4336917562724,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Campus_computing_labs
USE_CMS,1,1,13.8686131386861,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Canvas
USE_CMS,2,2,7.66423357664234,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Canvas
USE_CMS,3,3,1.09489051094891,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Canvas
USE_CMS,4,4,11.3138686131387,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Canvas
USE_CMS,5,5,66.058394160584,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Canvas
USE_CS,1,1,11.0714285714286,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Online_collaborative_software_(e.g._Teams__Google_Drive_or_Office_365)
USE_CS,2,2,8.21428571428571,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Online_collaborative_software_(e.g._Teams__Google_Drive_or_Office_365)
USE_CS,3,3,12.5,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Online_collaborative_software_(e.g._Teams__Google_Drive_or_Office_365)
USE_CS,4,4,16.7857142857143,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Online_collaborative_software_(e.g._Teams__Google_Drive_or_Office_365)
USE_CS,5,5,51.4285714285714,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Online_collaborative_software_(e.g._Teams__Google_Drive_or_Office_365)
USE_DASS,1,1,91.4285714285714,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Data_analysis_support_services
USE_DASS,2,2,6.42857142857143,Over_the_course_of_a_semester__on_average__how_often_do_you_use_the_following_services?_-_Data_analysis_support_services
