service,...2,Value,Percentage,service_long
DS_AFTM,1,1,4.08163265306122,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Access_to_free_or_low_cost_course_textbooks_and_other_materials
DS_AFTM,2,2,13.265306122449,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Access_to_free_or_low_cost_course_textbooks_and_other_materials
DS_AFTM,3,3,41.3265306122449,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Access_to_free_or_low_cost_course_textbooks_and_other_materials
DS_AFTM,4,4,41.3265306122449,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Access_to_free_or_low_cost_course_textbooks_and_other_materials
DS_AWAC,1,1,0.8,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Availability_of_wireless_access_on_campus
DS_AWAC,2,2,6.8,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Availability_of_wireless_access_on_campus
DS_AWAC,3,3,27.2,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Availability_of_wireless_access_on_campus
DS_AWAC,4,4,65.2,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Availability_of_wireless_access_on_campus
DS_BL,1,1,3.07692307692308,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_laptops
DS_BL,2,2,3.84615384615385,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_laptops
DS_BL,3,3,13.0769230769231,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_laptops
DS_BL,4,4,80,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_laptops
DS_BTE,1,2,1.85185185185185,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_technology_equipment
DS_BTE,2,3,17.283950617284,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_technology_equipment
DS_BTE,3,4,80.8641975308642,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_technology_equipment
DS_CCL,1,1,5.10204081632653,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Campus_computing_labs
DS_CCL,2,2,7.14285714285714,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Campus_computing_labs
DS_CCL,3,3,28.5714285714286,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Campus_computing_labs
DS_CCL,4,4,59.1836734693878,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Campus_computing_labs
DS_CFCPS,1,1,0.434782608695652,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk_schedule
