service,Value,Percentage,service_long
INF_AATD,Not Informed,44.04,Availability_of_assistive_technologies_to_address_disabilities
INF_AATD,Somewhat Informed,36.93,Availability_of_assistive_technologies_to_address_disabilities
INF_AATD,Informed,16.51,Availability_of_assistive_technologies_to_address_disabilities
INF_AATD,Very Informed,2.52,Availability_of_assistive_technologies_to_address_disabilities
INF_ATRW,Not Informed,26.44,Availability_of_technology_learning_resources_and_workshops
INF_ATRW,Somewhat Informed,47.59,Availability_of_technology_learning_resources_and_workshops
INF_ATRW,Informed,23.68,Availability_of_technology_learning_resources_and_workshops
INF_ATRW,Very Informed,2.30,Availability_of_technology_learning_resources_and_workshops
INF_ATS,Not Informed,11.87,Available_technology_services
INF_ATS,Somewhat Informed,49.77,Available_technology_services
INF_ATS,Informed,34.70,Available_technology_services
INF_ATS,Very Informed,3.65,Available_technology_services
INF_GAIT,Not Informed,62.59,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
INF_GAIT,Somewhat Informed,26.79,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
INF_GAIT,Informed,8.78,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
INF_GAIT,Very Informed,1.85,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
