service,median,service_long
DS_AWAC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Availability_of_wireless_access_on_campus
DS_BL,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_laptops
DS_CFCPS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk_schedule
DS_CMS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Canvas
DS_CMSS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Canvas_support
DS_CS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Online_collaborative_software
DS_CTS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Campus_telephone_services
DS_DCR,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Desktop_laptop_computer_replacement
DS_ELCS,3,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Ease_of_logging_into_campus_systems
DS_FPC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk
DS_GAIT,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
DS_ITSPP,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Information_technology_security_policies_and_procedures
DS_OCS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Overall_computing_service
DS_OMOS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Overall_DLINQ_services
DS_PWAC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Performance_of_wireless_access_on_campus
DS_RCTN,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Responsiveness_to_your_changing_information_technology_needs
