service,Value,Percentage,service_long
LRN_GAIT,Not interested,37.7,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
LRN_GAIT,Somewhat interested,29.9,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
LRN_GAIT,Interested ,21.1,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
LRN_GAIT,Very Interested ,11.3,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
LRN_OOO,Not interested,32.7,How_interested_in_learning_new_skills_by_One-on-one_instruction
LRN_OOO,Somewhat interested,32.7,How_interested_in_learning_new_skills_by_One-on-one_instruction
LRN_OOO,Interested ,24.6,How_interested_in_learning_new_skills_by_One-on-one_instruction
LRN_OOO,Very Interested ,10.0,How_interested_in_learning_new_skills_by_One-on-one_instruction
LRN_PGL,Not interested,33.3,How_interested_in_learning_new_skills_by_Peer_group_learning
LRN_PGL,Somewhat interested,33.6,How_interested_in_learning_new_skills_by_Peer_group_learning
LRN_PGL,Interested ,26.6,How_interested_in_learning_new_skills_by_Peer_group_learning
LRN_PGL,Very Interested ,6.5,How_interested_in_learning_new_skills_by_Peer_group_learning
LRN_SDD,Not interested,29.1,How_interested_in_learning_new_skills_by_Self-directed_with_documentation
LRN_SDD,Somewhat interested,31.6,How_interested_in_learning_new_skills_by_Self-directed_with_documentation
LRN_SDD,Interested ,27.3,How_interested_in_learning_new_skills_by_Self-directed_with_documentation
LRN_SDD,Very Interested ,12.0,How_interested_in_learning_new_skills_by_Self-directed_with_documentation
LRN_SDOT,Not interested,25.1,How_interested_in_learning_new_skills_by_Self-directed_with_online_tutorial
LRN_SDOT,Somewhat interested,31.7,How_interested_in_learning_new_skills_by_Self-directed_with_online_tutorial
LRN_SDOT,Interested ,30.1,How_interested_in_learning_new_skills_by_Self-directed_with_online_tutorial
LRN_SDOT,Very Interested ,13.1,How_interested_in_learning_new_skills_by_Self-directed_with_online_tutorial
LRN_TE,Not interested,55.1,How_interested_in_learning_new_skills_by_Trial_and_error
LRN_TE,Somewhat interested,30.2,How_interested_in_learning_new_skills_by_Trial_and_error
LRN_TE,Interested ,10.0,How_interested_in_learning_new_skills_by_Trial_and_error
LRN_TE,Very Interested ,4.7,How_interested_in_learning_new_skills_by_Trial_and_error
LRN_TMS,Not interested,36.8,Technology_in_meeting_spaces_classrooms
LRN_TMS,Somewhat interested,39.1,Technology_in_meeting_spaces_classrooms
LRN_TMS,Interested ,18.9,Technology_in_meeting_spaces_classrooms
LRN_TMS,Very Interested ,5.3,Technology_in_meeting_spaces_classrooms
LRN_WTS,Not interested,20.1,How_interested_in_learning_new_skills_by_Workshop_Training_Session
LRN_WTS,Somewhat interested,29.4,How_interested_in_learning_new_skills_by_Workshop_Training_Session
LRN_WTS,Interested ,37.3,How_interested_in_learning_new_skills_by_Workshop_Training_Session
LRN_WTS,Very Interested ,13.2,How_interested_in_learning_new_skills_by_Workshop_Training_Session
