service,median,service_long
AAG_TUC,4,How_much_do_the_following_contribute_to_the_achievement_of_your_academic_goals?_-_Technology_used_in_courses_and_classrooms
ADIV,40200,What_is_your_primary_academic_division?
AP_GAIT,4,How_do_you_use_the_following_tools__if_at_all?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
DS_AWAC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Availability_of_wireless_access_on_campus
DS_BL,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_laptops
DS_BTE,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Borrowing_technology_equipment
DS_CFCPS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk_schedule
DS_CMS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Canvas
DS_CMSAS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Canvas_assignment_submission
DS_CMSGB,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Canvas_grade_book
DS_CMSOQ,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Canvas_online_quizzes
DS_FPC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Technology_help_desk
DS_GAIT,3,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
DS_GSSL,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Group_study_spaces_in_the_library
DS_ILL,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Interlibrary_loan
DS_LC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Physical_library_collections
DS_LDB,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_databases_(e.g._JSTOR)
DS_LDL,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_LibrarySearch_(go_primo)
DS_LEC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_e-book_collections
DS_LIAC,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_research_instruction_for_academic_courses
DS_LRS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_reference_research_services
DS_LSG,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Library_Subject_Guides_(go_guides)
DS_OLS,4,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Overall_library_service
DS_PWAC,3,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Performance_of_wireless_access_on_campus
DS_SGAIT,3,How_dissatisfied_or_satisfied_are_you_with_the_following_resources_and_services?_-_Support_for_the_use_of_Generative_AI_Tools_(e.g.__ChatGPT__Bard__ChatPDF)
IMP_AWAC,4,How_important_are_these_services_to_you?_-_Availability_of_wireless_access_on_campus
IMP_BL,2,How_important_are_these_services_to_you?_-_Borrowing_laptops
IMP_BTE,2,How_important_are_these_services_to_you?_-_Borrowing_technology_equipment
IMP_CFCPS,2,How_important_are_these_services_to_you?_-_Technology_help_desk_schedule
IMP_CLS,3,How_important_are_these_services_to_you?_-_The_library_schedule
IMP_CMS,4,How_important_are_these_services_to_you?_-_Canvas
IMP_CMSAS,4,How_important_are_these_services_to_you?_-_Canvas_assignment_submission
IMP_CMSGB,4,How_important_are_these_services_to_you?_-_Canvas_grade_book
IMP_CMSOQ,3,How_important_are_these_services_to_you?_-_Canvas_online_quizzes
