Question.Type,service,average,sum,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circulation Staff,Friendly,4.0,222,56,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,,4,,4,,4,4,4,,,3,4,4,4,4,4,4,4,3,4,4,4,,4,4,4,4,4,4,4,,4,4,4,4,,4,4,,4,4,,,,,,,,,,
Circulation Staff,Knowledgeable,3.8,215,56,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,,4,4,2,4,4,,4,,4,,4,4,4,,,2,4,4,4,4,4,3,4,3,4,4,4,,4,4,4,4,4,3,4,,4,4,4,4,,4,4,,4,4,,,,,,,,,,
Circulation Staff,Reliable,4.0,214,54,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,,4,,4,,4,4,4,,,4,4,4,3,4,4,,4,3,4,4,4,,4,4,4,4,4,,4,,4,4,4,4,,4,4,,4,4,,,,,,,,,,
Circulation Staff,Responsive,3.9,209,53,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,3,4,4,,4,,4,,4,4,4,,,4,4,,3,4,4,,4,3,4,4,4,,4,4,4,4,4,,4,,4,4,4,4,,4,4,,4,4,,,,,,,,,,
contribute to research goals ,Ability to access scholarly materials from wherever you are,3.7,212,57,4,4,4,3,3,4,4,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,,4,3,4,,4,4,4,,4,,,2,4,3,3,4,4,4,4,3,,4,3,4,3,4,4,4,,4,2,4,4,4,4,3,,4,4,4,,4,,,,,,,,,,
contribute to research goals ,Physical and digital library collections,3.2,174,54,4,,4,2,3,4,4,2,2,3,4,4,,4,4,3,3,2,4,4,4,1,3,,2,2,4,,3,4,4,,4,,,1,4,3,3,4,4,3,4,3,,4,3,,1,4,4,1,,2,4,2,2,4,4,3,,4,4,4,,4,,,,,,,,,,
contribute to research goals ,Working with librarians,3.2,161,51,4,4,4,1,2,4,2,3,2,4,,2,,4,2,3,3,2,3,2,3,3,,,3,1,4,,3,4,4,,4,,,1,3,,3,4,4,3,4,3,,4,4,,3,4,4,4,,3,4,,4,3,4,3,,4,4,2,,2,,,,,,,,,,
contribute to teaching goals,Ability to access scholarly materials from wherever you are,3.5,205,59,4,,4,4,3,4,4,4,,4,4,4,4,4,4,4,3,4,4,4,4,4,4,,4,3,4,,3,4,4,,4,3,,2,4,3,3,4,4,4,3,3,,4,3,1,2,4,4,1,2,2,2,4,4,4,4,4,3,3,4,4,1,4,,,,,,,,,,
contribute to teaching goals,Library spaces,2.3,121,53,2,,3,,1,4,1,1,1,3,,2,3,3,2,2,3,2,3,1,1,,1,,2,2,2,,1,,4,,1,3,,1,,2,1,3,4,3,3,3,,3,,1,1,3,4,1,1,2,4,,2,3,4,3,1,3,4,4,1,2,,,,,,,,,,
contribute to teaching goals,Physical and digital library collections,3.0,179,59,3,,4,3,2,4,2,3,2,4,,4,3,4,4,4,3,2,3,4,4,3,1,,2,2,2,,3,4,4,,4,3,,1,3,2,4,3,4,4,3,3,,4,3,1,3,4,4,2,2,2,4,2,2,3,4,3,2,4,4,4,1,4,,,,,,,,,,
contribute to teaching goals,working with librarians,2.9,166,57,4,,3,2,2,4,2,2,2,4,,2,3,3,3,3,3,2,3,1,3,3,3,,2,1,4,,3,4,4,,4,3,,1,3,,3,4,4,3,4,3,,4,4,1,2,4,4,1,3,3,3,,3,3,4,3,2,4,4,2,1,4,,,,,,,,,,
Frequency,Access to online resources from off-campus,3.4,247,73,3,1,3,5,1,4,1,3,2,5,3,5,2,2,4,5,3,5,5,5,5,2,5,,3,5,5,1,4,1,5,1,5,1,2,2,5,5,2,4,2,3,5,2,5,5,4,1,5,5,5,2,1,5,5,5,3,4,5,2,2,4,1,5,1,3,1,5,,5,,5,5,1,3,2
Frequency,Copyright and Fair Use support,1.3,94,71,2,1,2,,1,1,1,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,,1,1,1,1,1,1,5,1,1,1,1,1,2,1,2,2,1,3,,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,,1,,2,1,1,1,1
Frequency,"Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes",2.6,190,72,2,1,3,2,1,4,3,2,5,3,5,1,1,3,2,4,3,5,3,1,2,5,2,,1,3,2,1,1,3,1,3,2,4,3,5,4,5,4,3,5,2,1,2,1,1,2,2,4,4,3,1,5,1,1,5,2,1,1,3,3,5,,4,4,2,1,3,,4,,1,2,2,3,1
