Question.Type,service,average,sum,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circulation Staff,Reliable,3.9,689,177,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,4,4,4,4,3,4,4,4,4,3,4,,4,,4,,1,4,,,4,4,4,4,,,4,4,3,4,4,4,4,4,4,4,,4,4,4,4,4,3,4,4,4,,4,4,,4,4,4,4,4,4,4,4,,4,4,,,4,4,3,4,,,,4,4,,1,,4,4,,,4,,4,4,4,,4,4,4,4,,3,4,3,,4,4,4,4,4,4,4,4,4,3,4,4,,,4,4,4,4,4,4,4,,3,,4,4,4,,4,4,4,4,4,,,,,4,,,,4,4,,4,4,,4,4,,4,4,4,,4,4,4,4,,4,4,4,,4,4,4,,4,4,4,,3,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,,,,4,4,4,3,4,3,4,4,,4,,3,4,,4,4,4,,,,,,,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,,,
Circulation Staff,Friendly,3.9,696,179,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,4,4,4,4,3,4,4,3,4,2,4,,4,,4,,1,4,,,4,4,4,4,,,4,4,3,4,4,4,4,4,4,4,,4,4,4,4,4,3,4,4,4,,4,4,,2,4,4,4,4,4,4,4,,4,4,,,4,4,,4,,,,4,4,4,1,,4,4,,,4,,4,4,4,,4,4,4,4,,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,,,4,4,4,4,4,4,4,,4,,4,4,4,,4,4,4,4,4,,,,,4,,,,4,4,,4,4,,4,4,,4,4,4,,4,3,4,4,,4,4,4,,4,4,4,,4,4,4,,3,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,,,,4,4,4,4,4,4,4,4,4,4,,3,4,,4,4,4,,,,,,,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,,,
Circulation Staff,Responsive,3.9,692,178,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,,4,,4,4,4,4,4,4,4,3,4,4,4,4,3,4,2,4,,4,,1,4,,,4,4,4,4,,,4,4,2,4,4,4,4,4,4,4,,4,4,4,4,4,3,4,4,4,,4,4,,4,4,4,4,4,4,4,4,,4,4,,,4,4,3,4,,,,4,4,,1,,4,4,,,4,,4,4,4,,4,4,4,4,,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,,,4,4,4,4,4,4,4,,3,,4,4,4,,4,4,4,4,4,,,,,,,,,4,4,,4,4,,4,4,,4,4,4,,4,4,4,4,,4,4,4,,4,4,4,,4,4,4,,3,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,,,,4,4,4,3,4,3,4,4,4,4,,3,4,,4,4,4,,,,,,,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,,,
Circulation Staff,Knowledgeable,3.9,682,176,4,4,4,4,4,4,4,4,4,3,4,4,4,,4,4,4,4,,4,,4,3,4,4,4,4,4,3,4,4,3,4,3,4,,4,,4,,1,4,,,4,4,4,4,,,4,4,3,4,4,4,4,4,4,4,,4,4,4,4,3,3,4,4,4,,4,4,,4,4,4,4,4,4,4,4,,4,4,,,4,4,3,4,,,,4,4,,1,,4,4,,,4,,4,4,4,,4,4,4,4,,3,4,3,4,4,4,4,4,4,4,4,4,4,,4,4,,,4,4,4,4,4,4,4,,4,,4,4,4,,4,4,4,4,4,,,,,4,,,,4,4,,4,4,,4,4,,4,4,4,,4,4,4,4,,4,4,4,,4,4,4,,4,4,4,,3,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,,,,4,4,4,3,4,2,4,4,4,4,,3,4,,,4,4,,,,,,,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,,,
Contribution to Academic Goals,Ability to access scholarly materials from wherever you are,3.5,733,208,4,4,4,4,4,4,4,4,1,3,4,4,4,4,4,4,4,3,,4,3,4,3,4,3,4,3,4,2,4,4,4,4,,4,4,,4,4,4,4,4,4,1,4,4,4,4,2,3,4,4,4,4,2,4,4,4,4,4,4,4,3,3,4,4,4,4,2,4,3,3,4,3,3,1,4,4,3,4,4,4,4,4,2,4,4,4,3,2,4,4,,4,4,3,,1,4,4,4,,4,3,,4,3,4,4,3,4,4,3,1,4,4,2,4,4,3,4,4,4,3,2,4,4,4,2,3,4,4,,2,4,,3,4,4,,,,3,2,3,4,4,3,4,4,4,4,,4,4,4,4,,2,4,4,2,4,4,4,,3,,1,,4,,3,3,,3,,3,4,4,4,4,4,2,4,4,3,3,,4,2,3,4,4,4,3,3,3,4,3,3,3,4,4,4,4,2,4,3,4,,4,4,4,2,3,4,4,4,2,3,4,4,4,4,4,4,,,,,,,,,,,,,,,,3,,,,,,,,,,4,,,,,,,4,,,,,
Contribution to Academic Goals,Library spaces,3.1,600,191,4,1,3,1,,4,4,4,4,3,1,4,4,4,2,4,,3,3,4,3,4,2,4,3,4,3,4,2,4,4,4,,,3,,4,2,3,,1,4,1,,4,3,2,4,1,1,4,,4,2,2,4,4,4,,4,1,,3,3,4,4,4,4,4,4,,3,4,,3,1,4,4,4,4,2,4,1,4,4,,4,4,4,3,3,,,,3,4,,1,,4,4,,4,3,4,4,4,3,1,3,4,1,3,1,4,4,1,4,2,3,4,4,3,3,4,4,3,2,2,1,,,,4,3,4,4,4,4,,,,4,4,4,2,4,3,4,2,4,3,,1,1,2,,,1,3,3,2,4,4,,,3,,3,2,,,3,3,4,2,,3,4,4,3,3,3,1,1,1,4,3,,3,2,3,3,4,2,3,3,3,3,1,3,3,4,4,4,4,2,4,,4,,4,4,,4,4,3,4,4,2,4,4,4,4,,4,3,,,,,,,,,,,,,,,,4,,,,,,,,,,3,,,,,,,2,,,,,
Contribution to Academic Goals,Physical and digital library collections,3.1,637,207,3,3,3,3,3,4,4,4,3,4,3,4,4,4,2,4,3,2,,4,3,4,3,4,4,4,2,4,4,3,3,4,4,,3,4,,3,2,3,1,4,4,1,4,4,4,4,2,2,2,4,4,4,2,4,4,4,4,4,1,4,3,3,4,2,4,4,2,4,3,3,4,,2,1,4,4,2,4,2,4,2,4,3,4,4,4,3,2,4,4,,4,3,3,,3,4,4,3,,3,3,,4,3,2,1,3,4,1,2,1,3,2,3,4,2,3,4,4,3,3,4,4,3,2,2,2,3,4,,3,4,3,3,4,4,,,,2,2,3,2,2,3,3,2,2,4,1,4,1,4,,,2,3,4,1,4,4,4,,2,,1,2,4,,2,3,,2,,3,3,3,2,3,2,2,1,3,2,3,,4,3,2,3,4,2,3,3,3,4,1,3,2,4,4,4,4,2,4,,1,,4,3,4,1,2,4,4,2,,4,3,3,4,4,4,4,,,,,,,,,,,,,,,,3,,,,,,,,,,4,,,,,,,4,,,,,
Contribution to Academic Goals,Working with librarians,2.8,545,193,3,2,4,3,1,4,3,4,2,2,2,2,4,4,2,4,,3,,4,3,4,2,4,3,4,3,4,3,2,3,2,4,,4,4,,4,2,4,1,4,1,,4,2,2,4,1,1,2,,2,1,2,4,4,4,4,4,3,3,3,3,4,2,4,4,2,4,,,4,,3,1,4,4,2,4,1,3,,4,2,2,4,3,3,2,3,,,3,3,4,,3,2,4,2,,4,3,,4,2,1,,3,4,1,3,1,3,3,3,4,4,2,4,2,,3,3,4,3,1,3,1,3,4,,3,2,4,3,4,4,,,,3,2,3,1,4,2,2,2,4,2,,1,1,,,,,2,4,1,3,3,3,,2,,2,2,4,,3,1,,2,,3,3,4,3,3,3,2,2,2,2,3,,2,2,3,2,4,2,3,2,3,3,1,3,2,4,4,4,3,2,4,,1,,4,2,4,1,3,,4,2,,3,2,2,3,,4,2,,,,,,,,,,,,,,,,4,,,,,,,,,,3,,,,,,,2,,,,,
Do you use the following tools for academic purposes? - Library research,,0.7,150,222,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,,1,1,1,0,1,,1,1,0,1,1,0,1,0,1,,0,1,1,1,,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,,0,1,1,1,0,1,0,1,1,0,1,,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,,1,,1,1,0,,,,,,,,,,0,,,,,1,,,,,,,,,,1,,,,,,,,,,,,
Frequency,"Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes",3.3,787,240,5,1,5,2,3,5,2,3,4,5,2,1,1,2,4,5,3,4,4,4,4,1,4,5,2,5,5,5,3,5,2,1,1,3,2,2,2,5,3,4,1,4,1,1,3,4,5,5,2,1,4,1,5,5,4,1,1,4,5,2,1,3,5,5,3,3,5,1,3,2,2,4,4,5,1,4,4,5,3,5,5,4,1,3,4,2,2,1,5,5,1,5,4,3,1,3,5,2,2,3,5,,4,4,4,4,5,5,1,3,1,5,3,4,5,5,5,5,2,3,4,5,5,4,4,3,4,5,4,1,3,1,1,3,5,4,4,4,5,4,1,3,3,3,4,4,3,4,4,4,5,1,5,1,2,4,3,2,4,5,3,5,5,4,1,2,2,4,3,5,4,5,3,3,2,5,4,3,4,5,3,5,4,5,1,3,4,,,5,3,1,4,2,5,5,5,2,,1,4,5,1,1,3,5,5,1,5,5,5,5,5,2,,4,3,5,3,3,4,3,1,1,,4,1,1,,2,,5,,,,1,1,2,,,2,4,5,,,,,2,,,4,1,1,,2,2,,,,1,,3,,3,3
