StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ExternalReference,DistributionChannel,UserLanguage,USE_CMS,USE_CMSOQ,USE_CMSGB,USE_CMSAS,USE_TMS,USE_STMS,USE_ITS,USE_IDS,USE_CS,USE_OAV,USE_GAIT,USE_LRS,USE_LIAC,USE_LDL,USE_LC,USE_LEC,USE_LDB,USE_FPC,USE_HPC,USE_CFUS,USE_PCR,USE_AORO,USE_LWS,USE_OWS,IMP_CMS,IMP_CMSOQ,IMP_CMSGB,IMP_CMSAS,IMP_TMS,IMP_STMS,IMP_ITS,IMP_IDS,IMP_CS,IMP_OAV,IMP_GAIT,IMP_SGAIT,IMP_LRS,IMP_LIAC,IMP_LSSR,IMP_LDL,IMP_LC,IMP_LEC,IMP_LDB,IMP_RVLC,IMP_FPC,IMP_CFCPS,IMP_HPC,IMP_CFUS,IMP_PCR,IMP_AWAC,IMP_PWAC,IMP_AORO,IMP_CTS,IMP_LWS,IMP_OWS,IMP_SII,IMP_RCTN,IMP_RCLN,IMP_ILDA,IMP_OCS,IMP_OLS,IMP_OMOS,DS_CMS,DS_CMSOQ,DS_CMSGB,DS_CMSAS,DS_TMS,DS_STMS,DS_ITS,DS_IDS,DS_CS,DS_OAV,DS_GAIT,DS_SGAIT,DS_LRS,DS_LIAC,DS_LSSR,DS_LDL,DS_LC,DS_LEC,DS_LDB,DS_RVLC,DS_FPC,DS_CFCPS,DS_HPC,DS_CFUS,DS_PCR,DS_AWAC,DS_PWAC,DS_AORO,DS_CTS,DS_LWS,DS_OWS,DS_SII,DS_RCTN,DS_RCLN,DS_ILDA,DS_OCS,DS_OLS,DS_OMOS,TREM,ATG_PDLC,ATG_LS,ATG_ASM,ATG_WL,ATG_TUC,ARG_PDLC,ARG_ASM,ARG_WL,EITS,ELS,INF_ATS,INF_ALS,INF_AATD,INF_ATRW,INF_CFU,INF_GAIT,INF_RMLC,INF_CCFUN,INF_CLN,DALC_F,DALC_K,DALC_RL,DALC_RS,DALR_F,DALR_K,DALR_RL,DALR_RS,DAIT_F,DAIT_K,DAIT_RL,DAIT_RS,AP_CMS,AP_GAIT,SKL_CMS,SKL_TMS,SKL_GAIT,SKL_LDL,SKL_FEI,LRN_CMS,LRN_TMS,LRN_GAIT,LRN_LDL,LRN_FEI,LRN_PIRO,LRN_OOO,LRN_WTS,LRN_PGL,LRN_SDD,LRN_SDOT,LRN_TE,ADIV,COMMENT
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,External Data Reference,Distribution Channel,User Language,"Over the course of a semester, on average, how often do you use the following services? - Canvas","Over the course of a semester, on average, how often do you use the following services? - Canvas online quizzes","Over the course of a semester, on average, how often do you use the following services? - Canvas grade book","Over the course of a semester, on average, how often do you use the following services? - Canvas assignment submission","Over the course of a semester, on average, how often do you use the following services? - Technology in meeting spaces/classrooms","Over the course of a semester, on average, how often do you use the following services? - Support for technology in meeting spaces/classrooms","Over the course of a semester, on average, how often do you use the following services? - Instructional technology support","Over the course of a semester, on average, how often do you use the following services? - DLINQ Instructional Design Services","Over the course of a semester, on average, how often do you use the following services? - Online collaborative software","Over the course of a semester, on average, how often do you use the following services? - Online audio/video for academic or work purposes","Over the course of a semester, on average, how often do you use the following services? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes","Over the course of a semester, on average, how often do you use the following services? - Library reference/research services","Over the course of a semester, on average, how often do you use the following services? - Library research instruction for academic courses","Over the course of a semester, on average, how often do you use the following services? - LibrarySearch (go/primoca)","Over the course of a semester, on average, how often do you use the following services? - Physical library collections","Over the course of a semester, on average, how often do you use the following services? - Library e-book collections","Over the course of a semester, on average, how often do you use the following services? - Library databases (e.g. JSTOR)","Over the course of a semester, on average, how often do you use the following services? - Technology help desk","Over the course of a semester, on average, how often do you use the following services? - High performance computing","Over the course of a semester, on average, how often do you use the following services? - Copyright and Fair Use support","Over the course of a semester, on average, how often do you use the following services? - Physical course reserves","Over the course of a semester, on average, how often do you use the following services? - Access to online resources from off-campus","Over the course of a semester, on average, how often do you use the following services? - Institute Library web site (go/miislibrary) (e.g. library hours, policies)","Over the course of a semester, on average, how often do you use the following services? - DLINQ website",How important are these services to you? - Canvas,How important are these services to you? - Canvas online quizzes,How important are these services to you? - Canvas grade book,How important are these services to you? - Canvas assignment submission,How important are these services to you? - Technology in meeting spaces/classrooms,How important are these services to you? - Support for technology in meeting spaces/classrooms,How important are these services to you? - Instructional technology support,How important are these services to you? - DLINQ Instructional Design Services,How important are these services to you? - Online collaborative software,How important are these services to you? - Online audio/video for academic or work purposes,"How important are these services to you? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes","How important are these services to you? - Support for the use of Generative AI Tools (e.g., ChatGPT, Bard, ChatPDF)",How important are these services to you? - Library reference/research services,How important are these services to you? - Library research instruction for academic courses,How important are these services to you? - Library support for your scholarly research,How important are these services to you? - LibrarySearch (go/primoca),How important are these services to you? - Physical library collections,How important are these services to you? - Library e-book collections,How important are these services to you? - Library databases (e.g. JSTOR),How important are these services to you? - Range of viewpoints represented in the library's collections,How important are these services to you? - Technology help desk,How important are these services to you? - Technology help desk schedule,How important are these services to you? - High performance computing,How important are these services to you? - Copyright and Fair Use support,How important are these services to you? - Physical course reserves,How important are these services to you? - Availability of wireless access on campus,How important are these services to you? - Performance of wireless access on campus,How important are these services to you? - Access to online resources from off-campus,How important are these services to you? - Campus telephone services,"How important are these services to you? - Institute Library web site (go/miislibrary) (e.g. library hours, policies)",How important are these services to you? - DLINQ website,How important are these services to you? - Support for your innovative ideas,How important are these services to you? - Responsiveness to your changing information technology needs,How important are these services to you? - Responsiveness to your changing library needs,How important are these services to you? - Your input into library decisions that affect you,How important are these services to you? - Overall computing service,How important are these services to you? - Overall library service,How important are these services to you? - Overall DLINQ services,How dissatisfied or satisfied are you with the following resources and services? - Canvas,How dissatisfied or satisfied are you with the following resources and services? - Canvas online quizzes,How dissatisfied or satisfied are you with the following resources and services? - Canvas grade book,How dissatisfied or satisfied are you with the following resources and services? - Canvas assignment submission,How dissatisfied or satisfied are you with the following resources and services? - Technology in meeting spaces/classrooms,How dissatisfied or satisfied are you with the following resources and services? - Support for technology in meeting spaces/classrooms,How dissatisfied or satisfied are you with the following resources and services? - Instructional technology support,How dissatisfied or satisfied are you with the following resources and services? - DLINQ Instructional Design Services,How dissatisfied or satisfied are you with the following resources and services? - Online collaborative software,How dissatisfied or satisfied are you with the following resources and services? - Online audio/video for academic or work purposes,"How dissatisfied or satisfied are you with the following resources and services? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes","How dissatisfied or satisfied are you with the following resources and services? - Support for the use of Generative AI Tools (e.g., ChatGPT, Bard, ChatPDF)",How dissatisfied or satisfied are you with the following resources and services? - Library reference/research services,How dissatisfied or satisfied are you with the following resources and services? - Library research instruction for academic courses,How dissatisfied or satisfied are you with the following resources and services? - Library support for your scholarly research,How dissatisfied or satisfied are you with the following resources and services? - LibrarySearch (go/primoca),How dissatisfied or satisfied are you with the following resources and services? - Physical library collections,How dissatisfied or satisfied are you with the following resources and services? - Library e-book collections,How dissatisfied or satisfied are you with the following resources and services? - Library databases (e.g. JSTOR),How dissatisfied or satisfied are you with the following resources and services? - Range of viewpoints represented in the library's collections,How dissatisfied or satisfied are you with the following resources and services? - Technology help desk,How dissatisfied or satisfied are you with the following resources and services? - Technology help desk schedule,How dissatisfied or satisfied are you with the following resources and services? - High performance computing,How dissatisfied or satisfied are you with the following resources and services? - Copyright and Fair Use support,How dissatisfied or satisfied are you with the following resources and services? - Physical course reserves,How dissatisfied or satisfied are you with the following resources and services? - Availability of wireless access on campus,How dissatisfied or satisfied are you with the following resources and services? - Performance of wireless access on campus,How dissatisfied or satisfied are you with the following resources and services? - Access to online resources from off-campus,How dissatisfied or satisfied are you with the following resources and services? - Campus telephone services,"How dissatisfied or satisfied are you with the following resources and services? - Institute Library web site (go/miislibrary) (e.g. library hours, policies)",How dissatisfied or satisfied are you with the following resources and services? - DLINQ website,How dissatisfied or satisfied are you with the following resources and services? - Support for your innovative ideas,How dissatisfied or satisfied are you with the following resources and services? - Responsiveness to your changing information technology needs,How dissatisfied or satisfied are you with the following resources and services? - Responsiveness to your changing library needs,How dissatisfied or satisfied are you with the following resources and services? - Your input into library decisions that affect you,How dissatisfied or satisfied are you with the following resources and services? - Overall computing service,How dissatisfied or satisfied are you with the following resources and services? - Overall library service,How dissatisfied or satisfied are you with the following resources and services? - Overall DLINQ services,Do you teach your courses in-person or remotely?,How much do the following contribute to the achievement of your teaching goals? - Physical and digital library collections,How much do the following contribute to the achievement of your teaching goals? - Library spaces,How much do the following contribute to the achievement of your teaching goals? - Ability to access scholarly materials from wherever you are,How much do the following contribute to the achievement of your teaching goals? - Working with librarians,How much do the following contribute to the achievement of your teaching goals? - Technology used in courses and classrooms,How much do the following contribute to the achievement of your research goals? - Physical and digital library collections,How much do the following contribute to the achievement of your research goals? - Ability to access scholarly materials from wherever you are,How much do the following contribute to the achievement of your research goals? - Working with librarians,What one thing would you like to see done to enhance information technology services? (Please limit your response to 250 characters or less.),What one thing would you like to see done to enhance library services? (Please limit your response to 250 characters or less.),How informed do you feel you are about the following? - Available technology services,How informed do you feel you are about the following? - Available library services,How informed do you feel you are about the following? - Availability of assistive technologies to address disabilities,How informed do you feel you are about the following? - Availability of technology learning resources and workshops,How informed do you feel you are about the following? - Copyright and Fair Use,"How informed do you feel you are about the following? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",How informed do you feel you are about the following? - How to request materials be added to the library collection,How informed do you feel you are about the following? - Who to contact for your copyright and Fair Use needs,How informed do you feel you are about the following? - Who to contact for your library needs,How strongly do you disagree or agree with the following statements with regard to the library circulation staff? - Friendly,How strongly do you disagree or agree with the following statements with regard to the library circulation staff? - Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the library circulation staff? - Reliable,How strongly do you disagree or agree with the following statements with regard to the library circulation staff? - Responsive,How strongly do you disagree or agree with the following statements with regard to the library reference/research staff? - Friendly,How strongly do you disagree or agree with the following statements with regard to the library reference/research staff? - Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the library reference/research staff? - Reliable,How strongly do you disagree or agree with the following statements with regard to the library reference/research staff? - Responsive,How strongly do you disagree or agree with the following statements with regard to the DLINQ staff? - Friendly,How strongly do you disagree or agree with the following statements with regard to the DLINQ staff? - Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the DLINQ staff? - Reliable,How strongly do you disagree or agree with the following statements with regard to the DLINQ staff? - Responsive,"How do you use the following tools, if at all? - Citation management software","How do you use the following tools, if at all? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",How would you describe your skill level with the following? - Canvas,How would you describe your skill level with the following? - Technology in meeting spaces/classrooms,"How would you describe your skill level with the following? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",How would you describe your skill level with the following? - LibrarySearch (go/primoca),How would you describe your skill level with the following? - Finding and evaluating information for your scholarship,How interested are you in learning more about the following? - Canvas,How interested are you in learning more about the following? - Technology in meeting spaces/classrooms,"How interested are you in learning more about the following? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",How interested are you in learning more about the following? - LibrarySearch (https://go.middlebury.edu/primoca),How interested are you in learning more about the following? - Finding and evaluating information for your scholarship,How interested are you in learning more about the following? - Protecting your identity and reputation online,How interested are you in learning new technical or research skills by the following methods? - One-on-one instruction,How interested are you in learning new technical or research skills by the following methods? - Workshop/Training Session,How interested are you in learning new technical or research skills by the following methods? - Peer group learning,How interested are you in learning new technical or research skills by the following methods? - Self-directed with documentation,How interested are you in learning new technical or research skills by the following methods? - Self-directed with online tutorial,How interested are you in learning new technical or research skills by the following methods? - Trial and error,What is your primary academic division?,Do you have any additional comments or suggestions?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_112""}","{""ImportId"":""QID1_113""}","{""ImportId"":""QID1_114""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_102""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_8""}","{""ImportId"":""QID1_118""}","{""ImportId"":""QID1_9""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID1_14""}","{""ImportId"":""QID1_16""}","{""ImportId"":""QID1_17""}","{""ImportId"":""QID1_19""}","{""ImportId"":""QID1_21""}","{""ImportId"":""QID1_30""}","{""ImportId"":""QID1_55""}","{""ImportId"":""QID1_34""}","{""ImportId"":""QID1_46""}","{""ImportId"":""QID1_50""}","{""ImportId"":""QID1_51""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_177""}","{""ImportId"":""QID3_178""}","{""ImportId"":""QID3_179""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_167""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID3_11""}","{""ImportId"":""QID3_183""}","{""ImportId"":""QID3_184""}","{""ImportId"":""QID3_12""}","{""ImportId"":""QID3_13""}","{""ImportId"":""QID3_16""}","{""ImportId"":""QID3_22""}","{""ImportId"":""QID3_24""}","{""ImportId"":""QID3_25""}","{""ImportId"":""QID3_27""}","{""ImportId"":""QID3_170""}","{""ImportId"":""QID3_29""}","{""ImportId"":""QID3_30""}","{""ImportId"":""QID3_44""}","{""ImportId"":""QID3_87""}","{""ImportId"":""QID3_48""}","{""ImportId"":""QID3_58""}","{""ImportId"":""QID3_59""}","{""ImportId"":""QID3_66""}","{""ImportId"":""QID3_67""}","{""ImportId"":""QID3_74""}","{""ImportId"":""QID3_75""}","{""ImportId"":""QID3_77""}","{""ImportId"":""QID3_121""}","{""ImportId"":""QID3_122""}","{""ImportId"":""QID3_79""}","{""ImportId"":""QID3_80""}","{""ImportId"":""QID3_81""}","{""ImportId"":""QID3_82""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_178""}","{""ImportId"":""QID4_179""}","{""ImportId"":""QID4_180""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_167""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID4_184""}","{""ImportId"":""QID4_185""}","{""ImportId"":""QID4_12""}","{""ImportId"":""QID4_13""}","{""ImportId"":""QID4_16""}","{""ImportId"":""QID4_22""}","{""ImportId"":""QID4_24""}","{""ImportId"":""QID4_25""}","{""ImportId"":""QID4_27""}","{""ImportId"":""QID4_171""}","{""ImportId"":""QID4_29""}","{""ImportId"":""QID4_30""}","{""ImportId"":""QID4_44""}","{""ImportId"":""QID4_87""}","{""ImportId"":""QID4_48""}","{""ImportId"":""QID4_58""}","{""ImportId"":""QID4_59""}","{""ImportId"":""QID4_66""}","{""ImportId"":""QID4_67""}","{""ImportId"":""QID4_74""}","{""ImportId"":""QID4_75""}","{""ImportId"":""QID4_77""}","{""ImportId"":""QID4_121""}","{""ImportId"":""QID4_122""}","{""ImportId"":""QID4_79""}","{""ImportId"":""QID4_80""}","{""ImportId"":""QID4_81""}","{""ImportId"":""QID4_82""}","{""ImportId"":""QID56""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID40_4""}","{""ImportId"":""QID40_5""}","{""ImportId"":""QID40_6""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_4""}","{""ImportId"":""QID42_5""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_21""}","{""ImportId"":""QID5_22""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_25""}","{""ImportId"":""QID5_23""}","{""ImportId"":""QID5_12""}","{""ImportId"":""QID5_13""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_50""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID20_6""}","{""ImportId"":""QID20_40""}","{""ImportId"":""QID20_9""}","{""ImportId"":""QID20_26""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID21_6""}","{""ImportId"":""QID21_40""}","{""ImportId"":""QID21_9""}","{""ImportId"":""QID21_26""}","{""ImportId"":""QID21_28""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID59""}","{""ImportId"":""QID32_TEXT""}"
2/22/2024 10:47,2/22/2024 10:58,0,100,633,1,2/22/2024 10:58,,email,EN,5,1,3,5,5,2,2,3,5,5,1,3,1,4,3,4,3,2,5,2,2,5,4,2,3,1,3,3,4,3,3,3,4,4,1,1,2,1,4,4,3,4,4,4,2,1,4,1,1,4,4,4,1,3,2,4,4,4,3,4,4,3,3,-99,3,3,3,2,2,3,3,3,-99,-99,3,3,3,3,3,3,3,3,2,2,3,-99,-99,4,4,3,-99,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,4,2,-99,same access to sources in Middlebury College and MIIS library sites - confusing for students + odd not to have the same exact sources available,2,2,1,2,1,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,9,9,4,4,1,4,5,1,1,1,1,2,2,1,2,1,3,3,2,-99,Thank you for this survey.
2/22/2024 10:51,2/22/2024 11:05,0,100,867,1,2/22/2024 11:05,,email,EN,5,2,1,1,1,1,2,2,3,4,2,3,3,3,2,3,3,3,1,2,2,3,3,2,3,1,1,1,1,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,2,2,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,4,4,4,2,3,3,3,3,3,3,2,3,2,4,4,4,4,4,4,-99,-99,2,2,2,2,2,2,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,9,1,4,3,2,4,4,2,2,2,2,2,3,3,3,2,2,2,2,119400,You do not have LS (Language Studies) for us to choose 
2/22/2024 11:50,2/22/2024 12:00,0,100,600,1,2/22/2024 12:00,,email,EN,5,1,1,3,3,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,4,1,1,4,4,4,4,3,-99,-99,-99,-99,-99,-99,-99,-99,4,4,3,4,4,4,1,2,2,4,4,4,1,4,2,4,4,4,3,1,4,2,4,-99,-99,4,3,3,3,3,-99,-99,-99,-99,-99,-99,-99,-99,3,3,-99,-99,4,2,-99,-99,-99,4,4,-99,-99,3,3,-99,3,-99,-99,-99,4,3,3,-99,-99,-99,-99,-99,-99,4,4,-99,-99,3,3,3,3,3,2,2,2,2,4,4,4,4,4,4,4,4,3,4,4,4,9,9,3,3,1,3,3,2,2,1,1,1,3,4,4,4,1,1,1,-99,My department in not represented and I am in Language Studies at MIIS
2/22/2024 12:09,2/22/2024 12:23,0,100,806,1,2/22/2024 12:23,,email,EN,5,3,5,5,4,3,3,4,3,3,3,4,3,3,4,3,4,3,4,2,1,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,4,3,3,3,-99,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,They should announce more workshops to refine skills every now and then.,see above,2,2,2,2,1,2,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,9,4,4,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,1,-99,"Under ""Primary Academic Division,"" you DID NOT include our department. It is the Language Studies (LS) department. Please make the correction for next time. Thanks. "
2/22/2024 12:14,2/22/2024 12:25,0,100,653,1,2/22/2024 12:25,,email,EN,5,3,5,5,5,2,2,2,1,2,2,2,1,1,1,2,2,1,1,-99,2,5,1,1,4,4,4,4,3,2,1,2,-99,2,-99,-99,2,2,1,1,1,2,2,1,1,1,1,1,1,4,4,4,1,1,1,1,2,1,1,3,1,1,4,4,4,4,4,4,-99,-99,-99,-99,3,-99,-99,4,-99,-99,-99,3,3,-99,-99,-99,-99,-99,-99,3,3,3,-99,-99,-99,-99,-99,-99,-99,3,3,3,2,3,-99,4,2,2,2,3,1,-99,-99,2,2,2,2,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,4,4,3,3,5,2,2,3,1,1,1,1,1,1,3,4,1,56500,-99
2/22/2024 12:38,2/22/2024 12:47,0,100,557,1,2/22/2024 12:47,,email,EN,5,4,4,4,1,1,2,2,4,4,1,2,2,1,1,2,1,1,1,1,2,1,2,2,4,4,4,4,-99,-99,-99,3,3,3,-99,-99,3,3,-99,3,1,2,-99,-99,-99,-99,-99,-99,3,4,4,4,-99,3,2,3,3,3,3,3,3,3,3,3,3,3,-99,-99,3,4,3,3,-99,-99,-99,-99,-99,-99,3,3,3,-99,-99,-99,-99,-99,3,-99,-99,3,-99,4,3,3,3,-99,-99,-99,4,3,3,2,1,3,2,4,3,3,2,-99,-99,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,9,9,4,1,2,3,1,2,1,4,1,1,2,2,2,2,2,2,2,119500,-99
2/22/2024 14:14,2/22/2024 14:32,0,100,1095,1,2/22/2024 14:32,,email,EN,5,1,1,1,5,2,1,1,1,5,4,2,2,1,1,3,2,1,1,1,1,4,2,1,3,1,1,1,4,2,2,1,3,4,2,2,4,4,4,4,1,4,4,4,4,4,2,3,1,4,4,4,1,4,2,4,3,4,3,4,4,3,3,-99,-99,-99,2,3,-99,-99,-99,3,-99,-99,4,4,4,2,-99,2,3,-99,2,2,-99,-99,-99,4,4,4,-99,3,3,3,-99,3,2,2,4,-99,3,4,4,4,4,4,4,4,4,Help Desk needs to be more responsive and have better training.,"Our library services at the Institute are excellent. However, we still cannot share the resources from the college which simply does not make sense.",2,2,1,2,1,1,3,1,3,4,3,4,4,4,3,4,4,4,4,4,4,2,2,3,3,3,4,4,2,2,3,3,3,3,2,1,1,3,3,2,54900,-99
2/22/2024 14:26,2/22/2024 14:36,0,100,617,1,2/22/2024 14:36,,email,EN,5,1,3,3,1,1,2,2,1,1,3,2,1,3,1,2,2,1,1,1,1,1,2,2,4,1,4,4,-99,-99,4,4,1,3,4,4,3,3,3,3,-99,3,3,3,3,3,-99,-99,-99,4,4,4,-99,2,4,4,4,4,-99,4,4,4,4,-99,4,4,-99,-99,4,4,-99,-99,4,4,4,4,4,4,-99,-99,4,4,4,4,-99,-99,-99,4,4,4,4,4,4,4,4,4,-99,4,4,4,5,2,1,4,2,4,4,4,2,-99,-99,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,4,4,1,2,3,3,4,1,4,4,4,4,3,4,4,4,4,1,54700,DLINQ has always been fantastic; am currently taking the AI weekly course and it has been extremely useful.
