StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ExternalReference,DistributionChannel,UserLanguage,USE_CMS,USE_CMSOQ,USE_CMSGB,USE_CMSAS,USE_CS,USE_GAIT,USE_LRS,USE_LDL,USE_LSG,USE_LC,USE_LEC,USE_ILL,USE_LDB,USE_FPC,USE_PCL,USE_QWSL,USE_GSSL,USE_BL,USE_BTE,USE_LWS,IMP_CMS,IMP_CMSS,IMP_CMSOQ,IMP_CMSGB,IMP_CMSAS,IMP_SDAV,IMP_CS,IMP_GAIT,IMP_SGAIT,IMP_LRS,IMP_LIAC,IMP_LSSR,IMP_LDL,IMP_LSG,IMP_LC,IMP_LEC,IMP_ILL,IMP_LDB,IMP_RVLC,IMP_FPC,IMP_CFCPS,IMP_PCL,IMP_QWSL,IMP_GSSL,IMP_PCIL,IMP_BL,IMP_BTE,IMP_AWAC,IMP_PWAC,IMP_LWS,IMP_OCS,IMP_OLS,DS_CMS,DS_CMSS,DS_CMSOQ,DS_CMSGB,DS_CMSAS,DS_SDAV,DS_CS,DS_GAIT,DS_SGAIT,DS_LRS,DS_LIAC,DS_LSSR,DS_LDL,DS_LSG,DS_LC,DS_LEC,DS_ILL,DS_LDB,DS_RVLC,DS_FPC,DS_CFCPS,DS_PCL,DS_QWSL,DS_GSSL,DS_PCIL,DS_BL,DS_BTE,DS_AWAC,DS_PWAC,DS_LWS,DS_OCS,DS_OLS,AREM,AAG_PDLC,AAG_LS,AAG_ASM,AAG_WL,AAG_TUC,EITS,ELS,INF_ATS,INF_ALS,INF_AAT,INF_ATRW,INF_GAIT,INF_RMLC,INF_CLN,DALC_F,DALC_K,DALC_RL,DALC_RS,DALR_F,DALR_K,DALR_RL,DALR_RS,AP_CMS,AP_GAIT,UAP_SLR,SKL_CMS,SKL_GAIT,SKL_LDL,SKL_LDB,LRN_CMS,LRN_GAIT,LRN_LDL,LRN_LDB,LRN_OOO,LRN_WTS,LRN_PGL,LRN_SDD,LRN_SDOT,LRN_TE,YEAR,ADIV,INTER,NOTFGEN,COMMENT
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,External Data Reference,Distribution Channel,User Language,"Over the course of a semester, on average, how often do you use the following services? - Canvas","Over the course of a semester, on average, how often do you use the following services? - Canvas online quizzes","Over the course of a semester, on average, how often do you use the following services? - Canvas grade book","Over the course of a semester, on average, how often do you use the following services? - Canvas assignment submission","Over the course of a semester, on average, how often do you use the following services? - Online collaborative software","Over the course of a semester, on average, how often do you use the following services? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes","Over the course of a semester, on average, how often do you use the following services? - Library reference/research services","Over the course of a semester, on average, how often do you use the following services? - LibrarySearch (go/primoca)","Over the course of a semester, on average, how often do you use the following services? - Library subject guides","Over the course of a semester, on average, how often do you use the following services? - Physical library collections","Over the course of a semester, on average, how often do you use the following services? - Library e-book collections","Over the course of a semester, on average, how often do you use the following services? - Interlibrary loan","Over the course of a semester, on average, how often do you use the following services? - Library databases (e.g. JSTOR)","Over the course of a semester, on average, how often do you use the following services? - Technology help desk","Over the course of a semester, on average, how often do you use the following services? - Public computers in the library","Over the course of a semester, on average, how often do you use the following services? - Quiet work space in the library","Over the course of a semester, on average, how often do you use the following services? - Group study spaces in the library","Over the course of a semester, on average, how often do you use the following services? - Borrowing laptops","Over the course of a semester, on average, how often do you use the following services? - Borrowing technology equipment","Over the course of a semester, on average, how often do you use the following services? - Library Web site (e.g. library hours, policies)",How important are these services to you? - Canvas,How important are these services to you? - Canvas support,How important are these services to you? - Canvas online quizzes,How important are these services to you? - Canvas grade book,How important are these services to you? - Canvas assignment submission,How important are these services to you? - Support for digital audio/video creation,How important are these services to you? - Online collaborative software,"How important are these services to you? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes","How important are these services to you? - Support for the use of Generative AI Tools (e.g., ChatGPT, Bard, ChatPDF)",How important are these services to you? - Library reference/research services,How important are these services to you? - Library research instruction for academic courses,How important are these services to you? - Library support for your scholarly research,How important are these services to you? - LibrarySearch (go/primoca),How important are these services to you? - Library subject guides,How important are these services to you? - Physical library collections,How important are these services to you? - Library e-book collections,How important are these services to you? - Interlibrary loan,How important are these services to you? - Library databases (e.g. JSTOR),How important are these services to you? - Range of viewpoints represented in the library's collections,How important are these services to you? - Technology help desk,How important are these services to you? - Technology help desk schedule,How important are these services to you? - Public computers in the library,How important are these services to you? - Quiet work space in the library,How important are these services to you? - Group study spaces in the library,"How important are these services to you? - Physical comfort in the library (e.g. seating, lighting)",How important are these services to you? - Borrowing laptops,How important are these services to you? - Borrowing technology equipment,How important are these services to you? - Availability of wireless access on campus,How important are these services to you? - Performance of wireless access on campus,"How important are these services to you? - Library Web site (e.g. library hours, policies)",How important are these services to you? - Overall computing service,How important are these services to you? - Overall library service,How dissatisfied or satisfied are you with the following resources and services? - Canvas,How dissatisfied or satisfied are you with the following resources and services? - Canvas support,How dissatisfied or satisfied are you with the following resources and services? - Canvas online quizzes,How dissatisfied or satisfied are you with the following resources and services? - Canvas grade book,How dissatisfied or satisfied are you with the following resources and services? - Canvas assignment submission,How dissatisfied or satisfied are you with the following resources and services? - Support for digital audio/video creation,How dissatisfied or satisfied are you with the following resources and services? - Online collaborative software,"How dissatisfied or satisfied are you with the following resources and services? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes","How dissatisfied or satisfied are you with the following resources and services? - Support for the use of Generative AI Tools (e.g., ChatGPT, Bard, ChatPDF)",How dissatisfied or satisfied are you with the following resources and services? - Library reference/research services,How dissatisfied or satisfied are you with the following resources and services? - Library research instruction for academic courses,How dissatisfied or satisfied are you with the following resources and services? - Library support for your scholarly research,How dissatisfied or satisfied are you with the following resources and services? - LibrarySearch (go/primoca),How dissatisfied or satisfied are you with the following resources and services? - Library subject guides,How dissatisfied or satisfied are you with the following resources and services? - Physical library collections,How dissatisfied or satisfied are you with the following resources and services? - Library e-book collections,How dissatisfied or satisfied are you with the following resources and services? - Interlibrary loan,How dissatisfied or satisfied are you with the following resources and services? - Library databases (e.g. JSTOR),How dissatisfied or satisfied are you with the following resources and services? - Range of viewpoints represented in the library's collections,How dissatisfied or satisfied are you with the following resources and services? - Technology help desk,How dissatisfied or satisfied are you with the following resources and services? - Technology help desk schedule,How dissatisfied or satisfied are you with the following resources and services? - Public computers in the library,How dissatisfied or satisfied are you with the following resources and services? - Quiet work space in the library,How dissatisfied or satisfied are you with the following resources and services? - Group study spaces in the library,"How dissatisfied or satisfied are you with the following resources and services? - Physical comfort in the library (e.g. seating, lighting)",How dissatisfied or satisfied are you with the following resources and services? - Borrowing laptops,How dissatisfied or satisfied are you with the following resources and services? - Borrowing technology equipment,How dissatisfied or satisfied are you with the following resources and services? - Availability of wireless access on campus,How dissatisfied or satisfied are you with the following resources and services? - Performance of wireless access on campus,"How dissatisfied or satisfied are you with the following resources and services? - Library Web site (e.g. library hours, policies)",How dissatisfied or satisfied are you with the following resources and services? - Overall computing service,How dissatisfied or satisfied are you with the following resources and services? - Overall library service,Do you attend your classes in-person on campus or remotely?,How much do the following contribute to the achievement of your academic goals? - Physical and digital library collections,How much do the following contribute to the achievement of your academic goals? - Library spaces,How much do the following contribute to the achievement of your academic goals? - Ability to access scholarly materials from wherever you are,How much do the following contribute to the achievement of your academic goals? - Working with librarians,How much do the following contribute to the achievement of your academic goals? - Technology used in courses and classrooms,What one thing would you like to see done to enhance information technology services? (Please limit your response to 250 characters or less.),What one thing would you like to see done to enhance library services? (Please limit your response to 250 characters or less.),How informed do you feel you are about the following? - Available technology services,How informed do you feel you are about the following? - Available library services,How informed do you feel you are about the following? - Availability of assistive technologies to address disabilities,How informed do you feel you are about the following? - Availability of technology learning resources and workshops,"How informed do you feel you are about the following? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",How informed do you feel you are about the following? - How to request materials be added to the library collection,How informed do you feel you are about the following? - Who to contact for your library needs,How strongly do you disagree or agree with the following statements with regard to the library circulation staff? - Friendly,How strongly do you disagree or agree with the following statements with regard to the library circulation staff? - Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the library circulation staff? - Reliable,How strongly do you disagree or agree with the following statements with regard to the library circulation staff? - Responsive,How strongly do you disagree or agree with the following statements with regard to the library reference/research staff? - Friendly,How strongly do you disagree or agree with the following statements with regard to the library reference/research staff? - Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the library reference/research staff? - Reliable,How strongly do you disagree or agree with the following statements with regard to the library reference/research staff? - Responsive,"How do you use the following tools, if at all? - Citation management software","How do you use the following tools, if at all? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",Do you use the following tools for academic purposes? - Library research,How would you describe your skill level with the following? - Canvas,"How would you describe your skill level with the following? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",How would you describe your skill level with the following? - LibrarySearch (go/primoca),How would you describe your skill level with the following? - Library databases (e.g. JSTOR),How interested are you in learning more about the following? - Canvas,"How interested are you in learning more about the following? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",How interested are you in learning more about the following? - LibrarySearch (go/primoca),How interested are you in learning more about the following? - Library databases (e.g. JSTOR),How interested are you in learning new technical or research skills by the following methods? - One-on-one instruction,How interested are you in learning new technical or research skills by the following methods? - Workshop/Training Session,How interested are you in learning new technical or research skills by the following methods? - Peer group learning,How interested are you in learning new technical or research skills by the following methods? - Self-directed with documentation,How interested are you in learning new technical or research skills by the following methods? - Self-directed with online tutorial,How interested are you in learning new technical or research skills by the following methods? - Trial and error,What is your expected year of graduation?,What is your primary academic division?,Are you an international student or foreign national?,Do you have a parent or legal guardian with a 4-year college degree?,Do you have any additional comments or suggestions?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_82""}","{""ImportId"":""QID1_83""}","{""ImportId"":""QID1_84""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_88""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_8""}","{""ImportId"":""QID1_9""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID1_11""}","{""ImportId"":""QID1_12""}","{""ImportId"":""QID1_13""}","{""ImportId"":""QID1_15""}","{""ImportId"":""QID1_18""}","{""ImportId"":""QID1_27""}","{""ImportId"":""QID1_29""}","{""ImportId"":""QID1_31""}","{""ImportId"":""QID1_32""}","{""ImportId"":""QID1_41""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_135""}","{""ImportId"":""QID3_136""}","{""ImportId"":""QID3_137""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_141""}","{""ImportId"":""QID3_142""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID3_14""}","{""ImportId"":""QID3_15""}","{""ImportId"":""QID3_16""}","{""ImportId"":""QID3_17""}","{""ImportId"":""QID3_18""}","{""ImportId"":""QID3_19""}","{""ImportId"":""QID3_134""}","{""ImportId"":""QID3_21""}","{""ImportId"":""QID3_22""}","{""ImportId"":""QID3_29""}","{""ImportId"":""QID3_39""}","{""ImportId"":""QID3_41""}","{""ImportId"":""QID3_42""}","{""ImportId"":""QID3_45""}","{""ImportId"":""QID3_46""}","{""ImportId"":""QID3_47""}","{""ImportId"":""QID3_48""}","{""ImportId"":""QID3_62""}","{""ImportId"":""QID3_68""}","{""ImportId"":""QID3_69""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_135""}","{""ImportId"":""QID4_136""}","{""ImportId"":""QID4_137""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_141""}","{""ImportId"":""QID4_142""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID4_14""}","{""ImportId"":""QID4_15""}","{""ImportId"":""QID4_16""}","{""ImportId"":""QID4_17""}","{""ImportId"":""QID4_18""}","{""ImportId"":""QID4_19""}","{""ImportId"":""QID4_134""}","{""ImportId"":""QID4_21""}","{""ImportId"":""QID4_22""}","{""ImportId"":""QID4_29""}","{""ImportId"":""QID4_39""}","{""ImportId"":""QID4_41""}","{""ImportId"":""QID4_42""}","{""ImportId"":""QID4_45""}","{""ImportId"":""QID4_46""}","{""ImportId"":""QID4_47""}","{""ImportId"":""QID4_48""}","{""ImportId"":""QID4_62""}","{""ImportId"":""QID4_68""}","{""ImportId"":""QID4_69""}","{""ImportId"":""QID49""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID39_4""}","{""ImportId"":""QID39_5""}","{""ImportId"":""QID39_6""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_16""}","{""ImportId"":""QID5_14""}","{""ImportId"":""QID5_18""}","{""ImportId"":""QID5_17""}","{""ImportId"":""QID5_11""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_45""}","{""ImportId"":""QID17_6""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID20_38""}","{""ImportId"":""QID20_8""}","{""ImportId"":""QID20_9""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_38""}","{""ImportId"":""QID21_8""}","{""ImportId"":""QID21_9""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID34""}","{""ImportId"":""QID54""}","{""ImportId"":""QID36""}","{""ImportId"":""QID51""}","{""ImportId"":""QID32_TEXT""}"
2/23/2024 1:46,2/23/2024 1:58,0,100,696,1,2/23/2024 1:58,,email,EN,5,1,5,5,4,5,3,1,1,3,1,3,1,1,2,4,1,1,1,2,4,4,-99,3,4,4,3,3,3,3,3,3,3,2,2,2,2,2,-99,1,1,1,4,1,3,-99,-99,4,4,2,2,3,3,3,-99,3,4,3,-99,3,3,3,3,3,3,3,3,3,3,-99,-99,-99,-99,-99,4,-99,4,-99,-99,4,4,4,4,4,3,3,4,4,3,-99,-99,-99,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,9,4,1,5,3,3,3,4,4,4,4,1,1,1,3,3,3,2025,119600,1,0,-99
2/23/2024 10:39,2/23/2024 10:45,0,100,383,1,2/23/2024 10:45,,email,EN,4,2,1,2,3,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,3,2,2,1,1,2,2,1,1,3,2,2,3,1,2,2,1,4,3,2,2,2,2,2,2,2,2,3,4,2,3,3,4,4,4,4,4,4,4,-99,-99,4,4,4,4,-99,4,-99,-99,4,4,4,4,4,4,4,4,-99,-99,4,4,4,4,4,2,3,1,4,2,3,N/A,N/A,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,1,9,1,4,1,3,3,1,1,1,1,1,1,1,1,1,1,2025,119300,0,1,N/A
2/23/2024 10:38,2/23/2024 10:50,0,100,708,1,2/23/2024 10:50,,email,EN,5,3,4,5,5,5,3,3,3,2,2,1,3,2,1,3,2,1,1,3,4,4,2,3,4,3,4,4,4,3,3,4,3,3,3,3,3,3,3,4,4,2,4,4,4,2,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-99,4,4,4,4,-99,4,4,4,-99,-99,4,4,4,4,4,2,3,3,4,4,4,-99,-99,3,3,3,3,3,2,3,4,4,4,4,4,4,4,4,2,2,1,5,5,3,3,3,4,3,4,4,3,2,2,2,2,2024,119500,1,1,-99
2/23/2024 10:42,2/23/2024 10:52,0,100,601,1,2/23/2024 10:52,,email,EN,5,3,3,4,5,2,3,3,1,2,2,2,3,1,1,1,1,1,1,3,4,2,4,4,4,3,4,2,2,3,3,3,3,3,3,4,3,4,3,2,2,1,1,1,1,1,1,4,4,3,3,3,4,4,4,4,4,4,4,3,-99,3,3,3,3,3,3,3,3,3,3,3,3,-99,-99,-99,-99,-99,-99,4,4,4,4,4,2,3,1,4,3,4,-99,"I would like to see a larger ebook collection.  Last term, when I was researching for an IEM class, I found an ebook that the library did not have in the collection.  I requested it through ILL as an ebook, but it arrived hard copy too late to use.",3,4,4,4,2,2,3,4,4,4,4,4,4,4,4,1,4,1,3,2,3,3,2,2,2,2,2,2,1,3,3,4,2024,56100,0,1,"I have gone back a couple times during my time at Middlebury to reference the presentation that the library gave during my welcome week.  That re-look is what helped me latch on to Zotero for citation management, which has made it much easier for me to focus on the substance of my work product rather than the form of typing out citations.  Thank you so much!"
2/23/2024 10:42,2/23/2024 11:02,0,100,1155,1,2/23/2024 11:02,,email,EN,5,3,3,4,4,3,2,2,1,1,1,1,2,1,1,1,1,1,1,1,4,1,2,4,4,2,3,2,1,2,2,2,2,2,-99,2,1,4,3,2,2,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,4,4,-99,4,4,4,-99,4,4,-99,4,4,4,4,3,-99,4,4,4,4,4,4,-99,-99,-99,-99,-99,-99,-99,-99,4,-99,4,5,3,-99,4,1,4,Greater training for faculty on how to properly use tech that supports blended synch courses. It gets frustrating when profs seem ill-equipped to handle the modality. Some classroom tech also picks up in person talking better than others.,I use Google Scholar while logged into MIIS' library to complete all research. This feels way easier that finding research directly through the MIIS library website.,2,2,2,2,2,1,3,4,4,4,4,4,4,4,4,1,2,1,4,3,3,3,1,2,3,3,2,3,3,2,2,1,2024,54700,0,1,Please continue to promote and support online students to the same degree as on campus students.
2/23/2024 10:49,2/23/2024 11:09,0,100,1158,1,2/23/2024 11:09,,email,EN,5,5,5,5,3,5,3,3,1,2,1,1,1,2,3,4,4,3,2,2,4,1,4,2,4,3,3,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,-99,-99,2,2,3,-99,3,4,4,4,2,2,2,3,3,4,3,4,3,3,1,4,4,4,4,4,-99,-99,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,2,3,1,3,3,3,3,1,4,2,2,2,4,2,2,2,2,2024,119500,1,1,-99
2/23/2024 11:04,2/23/2024 11:14,0,100,581,1,2/23/2024 11:14,,email,EN,5,2,2,2,2,2,2,3,3,3,2,1,2,2,2,5,2,1,1,2,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,3,4,-99,-99,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,1,1,1,4,3,3,3,3,3,3,3,2,3,2,2,2,2,2024,119500,1,1,-99
2/23/2024 11:13,2/23/2024 11:19,0,100,356,1,2/23/2024 11:19,,email,EN,5,5,1,5,1,3,3,4,3,3,2,2,3,2,1,5,4,1,1,2,3,3,3,3,3,3,3,2,3,4,3,3,3,3,4,4,4,4,4,4,4,3,4,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,-99,-99,3,3,3,3,3,2,2,4,4,4,4,4,4,4,4,2,3,1,4,3,3,4,2,3,3,3,1,3,1,3,3,3,2024,119500,1,0,-99
