StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,USE_CMS,USE_TMS,USE_STMS,USE_ITS,USE_IDS,USE_CS,USE_GAIT,USE_LIAC,USE_LDL,USE_LSG,USE_LDB,USE_FPC,USE_HDTS,USE_CCL,USE_DASS,USE_HPC,USE_DSDH,USE_BL,USE_BTE,USE_IPFS,IMP_CMS,IMP_CMSS,IMP_TMS,IMP_STMS,IMP_TRCTP,IMP_ITS,IMP_IDS,IMP_CS,IMP_GAIT,IMP_SGAIT,IMP_LIAC,IMP_LSSR,IMP_LSSSR,IMP_SSCN,IMP_LDL,IMP_LSG,IMP_LDB,IMP_AFTM,IMP_FPC,IMP_CFCPS,IMP_HDTS,IMP_SDCP,IMP_TRDCP,IMP_CCL,IMP_DASS,IMP_HPC,IMP_DHDS,IMP_BL,IMP_BTE,IMP_AWAC,IMP_PWAC,IMP_ELCS,IMP_IPFS,IMP_RCTN,IMP_ICDA,IMP_ILDA,DS_CMS,DS_CMSS,DS_TMS,DS_STMS,DS_TRCTP,DS_ITS,DS_IDS,DS_CS,DS_GAIT,DS_SGAIT,DS_LIAC,DS_LSSR,DS_LSSSR,DS_SSCN,DS_LDL,DS_LSG,DS_LDB,DS_AFTM,DS_FPC,DS_CFCPS,DS_HDTS,DS_SDCP,DS_TRDCP,DS_CCL,DS_DASS,DS_HPC,DS_DHDS,DS_BL,DS_BTE,DS_AWAC,DS_PWAC,DS_ELCS,DS_IPFS,DS_RCTN,DS_ICDA,DS_ILDA,EITS,ELS,INF_ATS,INF_ALS,INF_AATD,INF_ATRW,INF_GAIT,INF_CITN,DAIT_F,DAIT_K,DAIT_RL,DAIT_RS,AP_GAIT,LRN_CMS,LRN_TMS,LRN_GAIT,LRN_OOO,LRN_WTS,LRN_PGL,LRN_SDD,LRN_SDOT,LRN_TE,FTIME,RANK,RANK_5_TEXT,TEN,AGE,COMMENT
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,"Over the course of a semester, on average, how often do you use the following services? - Canvas","Over the course of a semester, on average, how often do you use the following services? - Technology in meeting spaces/classrooms","Over the course of a semester, on average, how often do you use the following services? - Support for technology in meeting spaces/classrooms","Over the course of a semester, on average, how often do you use the following services? - Instructional technology support","Over the course of a semester, on average, how often do you use the following services? - DLINQ Instructional Design consultations or workshops","Over the course of a semester, on average, how often do you use the following services? - Online collaborative software (e.g. Teams, Google Drive or Office 365)","Over the course of a semester, on average, how often do you use the following services? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes","Over the course of a semester, on average, how often do you use the following services? - Library research instruction for academic courses","Over the course of a semester, on average, how often do you use the following services? - LibrarySearch (go/primo)","Over the course of a semester, on average, how often do you use the following services? - Library Subject Guides (go/guides)","Over the course of a semester, on average, how often do you use the following services? - Library databases (e.g. JSTOR, Electronic Journals)","Over the course of a semester, on average, how often do you use the following services? - Technology help desk","Over the course of a semester, on average, how often do you use the following services? - Technology help desk ticketing system","Over the course of a semester, on average, how often do you use the following services? - Campus computing labs","Over the course of a semester, on average, how often do you use the following services? - Data analysis support services","Over the course of a semester, on average, how often do you use the following services? - High performance computing","Over the course of a semester, on average, how often do you use the following services? - Digital Scholarship/Digital Humanities services","Over the course of a semester, on average, how often do you use the following services? - Borrowing laptops","Over the course of a semester, on average, how often do you use the following services? - Borrowing technology equipment","Over the course of a semester, on average, how often do you use the following services? - Institutionally provided network & cloud file storage",How important are these services to you? - Canvas,How important are these services to you? - Canvas support,How important are these services to you? - Technology in meeting spaces/classrooms,How important are these services to you? - Support for technology in meeting spaces/classrooms,How important are these services to you? - The time it takes to resolve your classroom technology problems,How important are these services to you? - Instructional technology support,How important are these services to you? - DLINQ Instructional Design consultations or workshops,"How important are these services to you? - Online collaborative software (e.g. Teams, Google Drive or Office 365)","How important are these services to you? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes","How important are these services to you? - Support for the use of Generative AI Tools (e.g., ChatGPT, Bard, ChatPDF)",How important are these services to you? - Library research instruction for academic courses,How important are these services to you? - Library support for your scholarly research,How important are these services to you? - Library support for your students' scholarly research,How important are these services to you? - Support for your specialized computing needs,How important are these services to you? - LibrarySearch (go/primo),How important are these services to you? - Library Subject Guides (go/guides),"How important are these services to you? - Library databases (e.g. JSTOR, Electronic Journals)",How important are these services to you? - Access to free or low cost course textbooks and other materials,How important are these services to you? - Technology help desk,How important are these services to you? - Technology help desk schedule,How important are these services to you? - Technology help desk ticketing system,How important are these services to you? - Support when you have a desktop/laptop computing problem,How important are these services to you? - The time it takes to resolve your desktop/laptop computing problems,How important are these services to you? - Campus computing labs,How important are these services to you? - Data analysis support services,How important are these services to you? - High performance computing,How important are these services to you? - Digital Scholarship/Digital Humanities services,How important are these services to you? - Borrowing laptops,How important are these services to you? - Borrowing technology equipment,How important are these services to you? - Availability of wireless access on campus,How important are these services to you? - Performance of wireless access on campus,How important are these services to you? - Ease of logging into campus systems,How important are these services to you? - Institutionally provided network & cloud file storage,How important are these services to you? - Responsiveness to your changing information technology needs,How important are these services to you? - Your input into computing decisions that affect you,How important are these services to you? - Your input into library decisions that affect you,How dissatisfied or satisfied are you with the following resources and services? - Canvas,How dissatisfied or satisfied are you with the following resources and services? - Canvas support,How dissatisfied or satisfied are you with the following resources and services? - Technology in meeting spaces/classrooms,How dissatisfied or satisfied are you with the following resources and services? - Support for technology in meeting spaces/classrooms,How dissatisfied or satisfied are you with the following resources and services? - The time it takes to resolve your classroom technology problems,How dissatisfied or satisfied are you with the following resources and services? - Instructional technology support,How dissatisfied or satisfied are you with the following resources and services? - DLINQ Instructional Design consultations or workshops,"How dissatisfied or satisfied are you with the following resources and services? - Online collaborative software (e.g. Teams, Google Drive or Office 365)","How dissatisfied or satisfied are you with the following resources and services? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes","How dissatisfied or satisfied are you with the following resources and services? - Support for the use of Generative AI Tools (e.g., ChatGPT, Bard, ChatPDF)",How dissatisfied or satisfied are you with the following resources and services? - Library research instruction for academic courses,How dissatisfied or satisfied are you with the following resources and services? - Library support for your scholarly research,How dissatisfied or satisfied are you with the following resources and services? - Library support for your students' scholarly research,How dissatisfied or satisfied are you with the following resources and services? - Support for your specialized computing needs,How dissatisfied or satisfied are you with the following resources and services? - LibrarySearch (go/primo),How dissatisfied or satisfied are you with the following resources and services? - Library Subject Guides (go/guides),"How dissatisfied or satisfied are you with the following resources and services? - Library databases (e.g. JSTOR, Electronic Journals)",How dissatisfied or satisfied are you with the following resources and services? - Access to free or low cost course textbooks and other materials,How dissatisfied or satisfied are you with the following resources and services? - Technology help desk,How dissatisfied or satisfied are you with the following resources and services? - Technology help desk schedule,How dissatisfied or satisfied are you with the following resources and services? - Technology help desk ticketing system,How dissatisfied or satisfied are you with the following resources and services? - Support when you have a desktop/laptop computing problem,How dissatisfied or satisfied are you with the following resources and services? - The time it takes to resolve your desktop/laptop computing problems,How dissatisfied or satisfied are you with the following resources and services? - Campus computing labs,How dissatisfied or satisfied are you with the following resources and services? - Data analysis support services,How dissatisfied or satisfied are you with the following resources and services? - High performance computing,How dissatisfied or satisfied are you with the following resources and services? - Digital Scholarship/Digital Humanities services,How dissatisfied or satisfied are you with the following resources and services? - Borrowing laptops,How dissatisfied or satisfied are you with the following resources and services? - Borrowing technology equipment,How dissatisfied or satisfied are you with the following resources and services? - Availability of wireless access on campus,How dissatisfied or satisfied are you with the following resources and services? - Performance of wireless access on campus,How dissatisfied or satisfied are you with the following resources and services? - Ease of logging into campus systems,How dissatisfied or satisfied are you with the following resources and services? - Institutionally provided network & cloud file storage,How dissatisfied or satisfied are you with the following resources and services? - Responsiveness to your changing information technology needs,How dissatisfied or satisfied are you with the following resources and services? - Your input into computing decisions that affect you,How dissatisfied or satisfied are you with the following resources and services? - Your input into library decisions that affect you,What one thing would you like to see done to enhance information technology services? (Please limit your response to 250 characters or less.),What one thing would you like to see done to enhance library services? (Please limit your response to 250 characters or less.),How informed do you feel you are about the following? - Available technology services,How informed do you feel you are about the following? - Available library services,How informed do you feel you are about the following? - Availability of assistive technologies to address disabilities,How informed do you feel you are about the following? - Availability of technology learning resources and workshops,"How informed do you feel you are about the following? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",How informed do you feel you are about the following? - Who to contact for your instructional technology needs,How strongly do you disagree or agree with the following statements with regard to the DLNIQ staff? - Friendly,How strongly do you disagree or agree with the following statements with regard to the DLNIQ staff? - Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the DLNIQ staff? - Reliable,How strongly do you disagree or agree with the following statements with regard to the DLNIQ staff? - Responsive,"How do you use the following tools, if at all? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",How interested are you in learning more about the following? - Canvas,How interested are you in learning more about the following? - Technology in meeting spaces/classrooms,"How interested are you in learning more about the following? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",How interested are you in learning new technical or research skills by the following methods? - One-on-one instruction,How interested are you in learning new technical or research skills by the following methods? - Workshop/Training Session,How interested are you in learning new technical or research skills by the following methods? - Peer group learning,How interested are you in learning new technical or research skills by the following methods? - Self-directed with documentation,How interested are you in learning new technical or research skills by the following methods? - Self-directed with online tutorial,How interested are you in learning new technical or research skills by the following methods? - Trial and error,Are you considered a full-time employee of Middlebury College for at least nine months of the current academic year?,What is your rank? - Selected Choice,What is your rank? - Other (please specify) - Text,What is your tenure status?,What is your age?,Do you have any additional comments or suggestions?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_102""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_118""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID1_14""}","{""ImportId"":""QID1_15""}","{""ImportId"":""QID1_19""}","{""ImportId"":""QID1_21""}","{""ImportId"":""QID1_101""}","{""ImportId"":""QID1_23""}","{""ImportId"":""QID1_28""}","{""ImportId"":""QID1_30""}","{""ImportId"":""QID1_32""}","{""ImportId"":""QID1_39""}","{""ImportId"":""QID1_40""}","{""ImportId"":""QID1_44""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_167""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID3_183""}","{""ImportId"":""QID3_184""}","{""ImportId"":""QID3_13""}","{""ImportId"":""QID3_16""}","{""ImportId"":""QID3_18""}","{""ImportId"":""QID3_20""}","{""ImportId"":""QID3_22""}","{""ImportId"":""QID3_23""}","{""ImportId"":""QID3_27""}","{""ImportId"":""QID3_165""}","{""ImportId"":""QID3_29""}","{""ImportId"":""QID3_30""}","{""ImportId"":""QID3_166""}","{""ImportId"":""QID3_32""}","{""ImportId"":""QID3_33""}","{""ImportId"":""QID3_37""}","{""ImportId"":""QID3_42""}","{""ImportId"":""QID3_44""}","{""ImportId"":""QID3_46""}","{""ImportId"":""QID3_56""}","{""ImportId"":""QID3_57""}","{""ImportId"":""QID3_58""}","{""ImportId"":""QID3_59""}","{""ImportId"":""QID3_40""}","{""ImportId"":""QID3_63""}","{""ImportId"":""QID3_121""}","{""ImportId"":""QID3_78""}","{""ImportId"":""QID3_79""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_167""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID4_184""}","{""ImportId"":""QID4_185""}","{""ImportId"":""QID4_13""}","{""ImportId"":""QID4_16""}","{""ImportId"":""QID4_18""}","{""ImportId"":""QID4_20""}","{""ImportId"":""QID4_22""}","{""ImportId"":""QID4_23""}","{""ImportId"":""QID4_27""}","{""ImportId"":""QID4_165""}","{""ImportId"":""QID4_29""}","{""ImportId"":""QID4_30""}","{""ImportId"":""QID4_166""}","{""ImportId"":""QID4_32""}","{""ImportId"":""QID4_33""}","{""ImportId"":""QID4_37""}","{""ImportId"":""QID4_42""}","{""ImportId"":""QID4_44""}","{""ImportId"":""QID4_46""}","{""ImportId"":""QID4_56""}","{""ImportId"":""QID4_57""}","{""ImportId"":""QID4_58""}","{""ImportId"":""QID4_59""}","{""ImportId"":""QID4_40""}","{""ImportId"":""QID4_63""}","{""ImportId"":""QID4_121""}","{""ImportId"":""QID4_78""}","{""ImportId"":""QID4_79""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_21""}","{""ImportId"":""QID5_22""}","{""ImportId"":""QID5_25""}","{""ImportId"":""QID5_11""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID16_50""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID21_6""}","{""ImportId"":""QID21_40""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_5_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32_TEXT""}"
3/7/2024 7:43,3/7/2024 7:52,0,100,527,1,3/7/2024 7:52,email,EN,4,4,2,2,1,5,4,2,1,1,3,2,2,1,1,1,1,1,1,5,4,4,4,4,4,4,1,4,4,4,3,3,4,3,2,2,4,4,4,4,4,4,4,3,-99,-99,2,2,2,4,4,4,4,4,4,4,3,-99,4,3,3,3,1,3,3,2,3,4,4,3,-99,-99,3,3,3,2,3,3,3,-99,-99,-99,2,3,3,4,4,2,3,3,2,3,greater support for prompt AI writing instruction,better training for students to use online research tools,3,3,2,3,3,2,3,2,2,1,3,3,2,4,4,3,2,3,3,2,1,4,-99,3,57.5,-99
3/7/2024 7:44,3/7/2024 7:52,0,100,441,1,3/7/2024 7:52,email,EN,5,5,5,3,1,5,5,1,1,1,4,3,3,1,1,1,1,3,1,3,4,1,4,2,4,1,1,4,2,2,1,1,3,2,1,1,4,3,3,-99,3,3,4,1,1,1,1,4,4,4,4,4,3,3,3,1,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,2,-99,-99,-99,4,4,4,4,4,4,4,-99,-99,-99,-99,4,4,4,4,4,-99,-99,-99,-99,N/A,Digitized all books and journals and convert space to working space for students.,3,-99,3,2,3,3,3,3,3,2,3,1,3,1,2,2,2,2,3,1,1,-99,-99,-99,-99,-99
3/7/2024 7:46,3/7/2024 7:56,0,100,554,1,3/7/2024 7:56,email,EN,5,5,4,2,1,5,4,2,2,2,5,1,2,2,1,3,1,1,1,5,4,2,4,2,4,1,1,4,3,1,2,1,2,2,2,1,4,4,2,1,2,2,1,3,1,4,1,3,3,4,4,4,4,3,4,2,4,3,3,3,3,3,1,4,3,-99,2,-99,-99,3,4,-99,3,3,3,3,3,-99,3,4,-99,4,-99,-99,-99,3,2,3,4,3,4,4,Wifi in Bicentennial Hall is unreliable,-99,3,3,3,3,3,2,4,3,3,4,3,1,1,1,1,1,3,3,3,2,1,2,-99,2,37.5,-99
3/7/2024 7:50,3/7/2024 7:56,0,100,375,1,3/7/2024 7:56,email,EN,5,5,2,2,2,5,1,2,5,4,5,2,2,1,1,2,3,1,1,3,4,3,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,4,3,3,4,4,4,4,4,4,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,-99,4,4,4,4,Hire/replace all librarian lines.,Hire/replace all librarian lines.,4,4,4,4,4,4,3,4,4,4,9,1,1,1,2,2,2,1,1,1,1,2,-99,-99,-99,-99
3/7/2024 7:52,3/7/2024 7:57,0,100,337,1,3/7/2024 7:57,email,EN,4,4,1,1,1,4,1,1,3,1,1,2,2,1,1,5,1,1,2,4,2,1,4,1,4,1,1,4,1,1,1,1,1,4,2,1,1,3,3,3,3,3,3,1,1,4,1,2,2,4,4,4,4,2,4,1,1,4,4,-99,-99,1,-99,4,-99,-99,-99,-99,-99,4,-99,-99,4,4,4,4,4,4,4,-99,-99,4,-99,-99,4,3,3,3,4,3,3,-99,Support for desktop email clients. Generative AI is tiring.,"Y'all are doing great, thanks! ",3,3,2,2,4,3,4,2,-99,-99,9,1,1,1,1,1,1,1,1,1,1,2,-99,2,32.5,-99
3/7/2024 7:44,3/7/2024 7:58,0,100,812,1,3/7/2024 7:58,email,EN,4,4,2,2,1,5,1,2,1,1,4,2,2,1,1,1,1,1,1,1,4,4,4,4,4,3,2,4,1,1,3,1,4,-99,-99,1,4,3,4,4,1,4,4,3,4,2,2,1,2,4,4,4,2,4,4,4,4,4,4,4,4,4,-99,4,-99,-99,4,-99,4,-99,-99,-99,4,-99,2,4,-99,2,1,-99,-99,-99,-99,-99,-99,4,4,4,-99,4,3,3,More experienced FT support staff at the IT helpdesk to supplement student workers and more quickly resolve the complex problems. Those take too much time when the IT desk is staffed by students alone.,-99,2,2,2,2,1,2,-99,-99,-99,-99,9,4,3,4,4,3,1,1,1,1,1,4,-99,3,52.5,Thanks for all you do!
3/7/2024 7:50,3/7/2024 8:00,0,100,586,1,3/7/2024 8:00,email,EN,5,4,2,1,1,4,1,1,3,1,4,2,2,4,1,1,1,2,2,5,4,3,4,4,4,2,1,2,1,1,2,4,4,3,3,1,4,4,4,4,4,4,4,4,1,1,1,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,-99,2,-99,-99,4,3,4,-99,-99,-99,2,3,4,4,4,4,4,4,-99,-99,-99,4,4,4,4,2,1,2,2,2,My concerns are sometimes dismissed in ITS tickets. I understand computers very well. I can troubleshoot basic problems. So I get a little miffed when ITS suggests I clear my cache or restart the machine without taking me seriously.,"More access to peer-reviewed publications, which are essential for my research. Maybe the world would be better if more things were open access, but I don't make the rules!",4,4,4,4,4,4,-99,-99,-99,-99,9,2,1,1,1,3,1,1,1,1,1,3,-99,3,37.5,Thanks for all you do to support teaching and research at the College! I know there are many uphill battles. I am grateful for my library and ITS staff. Please let the faculty know if we can be helpful to you.
3/7/2024 7:57,3/7/2024 8:06,0,100,543,1,3/7/2024 8:06,email,EN,5,4,2,1,1,5,2,2,2,2,3,3,2,1,1,1,1,1,2,2,4,3,4,4,4,3,1,-99,2,2,3,3,4,2,2,2,3,4,4,3,3,4,4,1,1,1,1,2,2,4,4,4,3,3,2,2,4,4,4,4,4,4,-99,4,-99,-99,4,4,4,-99,2,4,4,2,4,4,4,4,4,-99,-99,-99,-99,4,4,3,-99,-99,4,4,4,4,-99,-99,3,3,3,3,1,2,4,4,4,4,9,4,2,1,4,2,2,1,1,1,1,3,-99,3,57.5,-99
