StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,USE_CMS,USE_TMS,USE_STMS,USE_CS,USE_GAIT,USE_FPC,USE_BL,IMP_CMS,IMP_CMSS,IMP_TMS,IMP_STMS,IMP_CS,IMP_GAIT,IMP_SGAIT,IMP_FPC,IMP_CFCPS,IMP_DCR,IMP_BL,IMP_AWAC,IMP_PWAC,IMP_ELCS,IMP_ITSPP,IMP_CTS,IMP_SII,IMP_RCTN,IMP_OCS,IMP_OMOS,DS_CMS,DS_CMSS,DS_TMS,DS_STMS,DS_CS,DS_GAIT,DS_SGAIT,DS_FPC,DS_CFCPS,DS_DCR,DS_BL,DS_AWAC,DS_PWAC,DS_ELCS,DS_ITSPP,DS_CTS,DS_SII,DS_RCTN,DS_OCS,DS_OMOS,WREM,EITS,INF_ATS,INF_AATD,INF_ATRW,INF_GAIT,SKL_TMS,SKL_GAIT,LRN_TMS,LRN_GAIT,LRN_OOO,LRN_WTS,LRN_PGL,LRN_SDD,LRN_SDOT,LRN_TE,FTIME,OCC,AGE,COMMENT
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,"Over the course of a semester, on average, how often do you use the following services? - Canvas","Over the course of a semester, on average, how often do you use the following services? - Technology in meeting spaces/classrooms","Over the course of a semester, on average, how often do you use the following services? - Support for technology in meeting spaces/classrooms","Over the course of a semester, on average, how often do you use the following services? - Online collaborative software","Over the course of a semester, on average, how often do you use the following services? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes","Over the course of a semester, on average, how often do you use the following services? - Technology help desk","Over the course of a semester, on average, how often do you use the following services? - Borrowing laptops",How important are these services to you? - Canvas,How important are these services to you? - Canvas support,How important are these services to you? - Technology in meeting spaces/classrooms,How important are these services to you? - Support for technology in meeting spaces/classrooms,How important are these services to you? - Online collaborative software,"How important are these services to you? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes","How important are these services to you? - Support for the use of Generative AI Tools (e.g., ChatGPT, Bard, ChatPDF)",How important are these services to you? - Technology help desk,How important are these services to you? - Technology help desk schedule,How important are these services to you? - Desktop/laptop computer replacement,How important are these services to you? - Borrowing laptops,How important are these services to you? - Availability of wireless access on campus,How important are these services to you? - Performance of wireless access on campus,How important are these services to you? - Ease of logging into campus systems,How important are these services to you? - Information technology security policies and procedures,How important are these services to you? - Campus telephone services,How important are these services to you? - Support for your innovative ideas,How important are these services to you? - Responsiveness to your changing information technology needs,How important are these services to you? - Overall computing service,How important are these services to you? - Overall DLINQ services,How dissatisfied or satisfied are you with the following resources and services? - Canvas,How dissatisfied or satisfied are you with the following resources and services? - Canvas support,How dissatisfied or satisfied are you with the following resources and services? - Technology in meeting spaces/classrooms,How dissatisfied or satisfied are you with the following resources and services? - Support for technology in meeting spaces/classrooms,How dissatisfied or satisfied are you with the following resources and services? - Online collaborative software,"How dissatisfied or satisfied are you with the following resources and services? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes","How dissatisfied or satisfied are you with the following resources and services? - Support for the use of Generative AI Tools (e.g., ChatGPT, Bard, ChatPDF)",How dissatisfied or satisfied are you with the following resources and services? - Technology help desk,How dissatisfied or satisfied are you with the following resources and services? - Technology help desk schedule,How dissatisfied or satisfied are you with the following resources and services? - Desktop/laptop computer replacement,How dissatisfied or satisfied are you with the following resources and services? - Borrowing laptops,How dissatisfied or satisfied are you with the following resources and services? - Availability of wireless access on campus,How dissatisfied or satisfied are you with the following resources and services? - Performance of wireless access on campus,How dissatisfied or satisfied are you with the following resources and services? - Ease of logging into campus systems,How dissatisfied or satisfied are you with the following resources and services? - Information technology security policies and procedures,How dissatisfied or satisfied are you with the following resources and services? - Campus telephone services,How dissatisfied or satisfied are you with the following resources and services? - Support for your innovative ideas,How dissatisfied or satisfied are you with the following resources and services? - Responsiveness to your changing information technology needs,How dissatisfied or satisfied are you with the following resources and services? - Overall computing service,How dissatisfied or satisfied are you with the following resources and services? - Overall DLINQ services,Do you work in-person on campus or remotely?,What one thing would you like to see done to enhance information technology services? (Please limit your response to 250 characters or less),How informed do you feel you are about the following? - Available technology services,How informed do you feel you are about the following? - Availability of assistive technologies to address disabilities,How informed do you feel you are about the following? - Availability of technology learning resources and workshops,"How informed do you feel you are about the following? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",How would you describe your skill level with the following? - Technology in meeting spaces/classrooms,"How would you describe your skill level with the following? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",How interested are you in learning more about the following? - Technology in meeting spaces/classrooms,"How interested are you in learning more about the following? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",How interested are you in learning new technical or research skills by the following methods? - One-on-one instruction,How interested are you in learning new technical or research skills by the following methods? - Workshop/Training Session,How interested are you in learning new technical or research skills by the following methods? - Peer group learning,How interested are you in learning new technical or research skills by the following methods? - Self-directed with documentation,How interested are you in learning new technical or research skills by the following methods? - Self-directed with online tutorial,How interested are you in learning new technical or research skills by the following methods? - Trial and error,Are you considered a full-time employee of Middlebury College for at least nine months of the current academic year?,Which of the following best describes your job?,What is your age?,Do you have any additional comments or suggestions?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_84""}","{""ImportId"":""QID1_17""}","{""ImportId"":""QID1_28""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_124""}","{""ImportId"":""QID3_125""}","{""ImportId"":""QID3_20""}","{""ImportId"":""QID3_21""}","{""ImportId"":""QID3_26""}","{""ImportId"":""QID3_40""}","{""ImportId"":""QID3_42""}","{""ImportId"":""QID3_43""}","{""ImportId"":""QID3_110""}","{""ImportId"":""QID3_111""}","{""ImportId"":""QID3_51""}","{""ImportId"":""QID3_61""}","{""ImportId"":""QID3_54""}","{""ImportId"":""QID3_64""}","{""ImportId"":""QID3_66""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_126""}","{""ImportId"":""QID4_127""}","{""ImportId"":""QID4_20""}","{""ImportId"":""QID4_21""}","{""ImportId"":""QID4_26""}","{""ImportId"":""QID4_40""}","{""ImportId"":""QID4_42""}","{""ImportId"":""QID4_43""}","{""ImportId"":""QID4_112""}","{""ImportId"":""QID4_113""}","{""ImportId"":""QID4_51""}","{""ImportId"":""QID4_61""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID4_64""}","{""ImportId"":""QID4_66""}","{""ImportId"":""QID47""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_15""}","{""ImportId"":""QID5_14""}","{""ImportId"":""QID5_18""}","{""ImportId"":""QID20_6""}","{""ImportId"":""QID20_38""}","{""ImportId"":""QID21_6""}","{""ImportId"":""QID21_38""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID37""}","{""ImportId"":""QID32_TEXT""}"
3/7/2024 7:45,3/7/2024 7:49,0,100,219,1,3/7/2024 7:49,email,EN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,2,2,1,1,1,2,1,-99,-99,-99,-99,-99,-99,-99,4,-99,-99,-99,4,4,4,-99,4,-99,-99,-99,-99,1,-99,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,57.5,-99
3/7/2024 7:45,3/7/2024 7:51,0,100,301,1,3/7/2024 7:51,email,EN,1,1,1,1,1,1,1,-99,-99,-99,-99,-99,-99,-99,2,2,2,2,4,4,4,2,2,-99,2,4,-99,-99,-99,-99,-99,-99,-99,-99,3,3,3,3,3,4,3,3,3,-99,3,4,-99,1,Increased network staff.,3,3,1,1,1,1,1,1,3,3,1,1,2,1,1,1,72.5,-99
3/7/2024 7:57,3/7/2024 8:03,0,100,389,1,3/7/2024 8:04,email,EN,1,3,1,1,1,2,1,-99,-99,2,2,-99,-99,-99,2,1,1,4,4,4,4,2,2,1,2,2,-99,-99,-99,4,-99,-99,-99,-99,4,-99,-99,-99,3,3,4,4,-99,-99,-99,-99,-99,1,-99,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,57.5,-99
3/7/2024 7:57,3/7/2024 8:04,0,100,417,1,3/7/2024 8:04,email,EN,1,5,2,3,2,2,2,-99,-99,4,4,4,3,3,4,4,4,4,4,4,4,4,4,2,3,4,4,-99,-99,3,3,3,-99,-99,4,4,2,3,4,4,4,3,3,-99,3,3,4,4,-99,2,2,2,2,3,2,1,3,1,1,2,3,3,1,1,4,42.5,-99
3/7/2024 7:45,3/7/2024 8:04,0,100,1193,1,3/7/2024 8:04,email,EN,1,1,1,1,1,2,1,-99,-99,-99,-99,-99,-99,-99,4,4,4,3,3,4,4,3,4,-99,4,4,-99,-99,-99,-99,-99,-99,-99,-99,2,3,-99,4,4,4,4,4,4,-99,3,3,-99,1, There are times when we need assistance and  we are unable to leave our work space to deliver our lap top to ITS because much like ITS we are also a service provider to the campus community. Maybe explore the idea of office calls? ,2,1,2,1,1,1,1,1,2,2,2,2,2,2,1,2,62.5,-99
3/7/2024 8:09,3/7/2024 8:15,0,100,364,1,3/7/2024 8:15,email,EN,5,2,1,5,1,2,1,4,1,3,1,4,-99,-99,3,1,1,1,4,4,4,2,2,2,3,3,1,4,-99,4,4,4,-99,-99,4,-99,-99,-99,3,4,4,4,4,4,3,4,-99,1,"Better land line Internet. I often have to wait for the desktop to connect. Hasn't been as bad lately, but has been a problem in the past.",4,4,4,4,5,1,1,1,1,2,4,2,2,4,1,1,52.5,-99
3/7/2024 7:54,3/7/2024 8:15,0,100,1229,1,3/7/2024 8:15,email,EN,1,2,2,5,1,2,1,1,1,4,4,4,2,2,4,4,4,2,4,4,4,3,1,3,4,3,3,-99,-99,4,4,4,-99,-99,4,4,2,4,4,4,3,3,-99,3,3,4,4,3,-99,2,2,2,2,4,2,3,3,2,2,2,1,1,2,1,1,47.5,-99
3/7/2024 8:13,3/7/2024 8:16,0,100,169,1,3/7/2024 8:16,email,EN,1,1,1,5,1,5,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,4,1,1,1,4,1,-99,-99,-99,-99,4,-99,-99,4,-99,-99,-99,-99,-99,4,4,-99,-99,-99,-99,-99,5,-99,3,1,2,1,1,1,1,1,3,3,3,3,3,3,1,3,47.5,-99
