StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,USE_CMS,USE_CMSOQ,USE_CMSGB,USE_CMSAS,USE_GAIT,USE_LRS,USE_LDL,USE_LSG,USE_LC,USE_LEC,USE_ILL,USE_LDB,USE_FPC,USE_GSSL,USE_BL,USE_BTE,IMP_CMS,IMP_CMSOQ,IMP_CMSGB,IMP_CMSAS,IMP_GAIT,IMP_SGAIT,IMP_LRS,IMP_LIAC,IMP_LDL,IMP_LSG,IMP_LC,IMP_LEC,IMP_ILL,IMP_LDB,IMP_FPC,IMP_CFCPS,IMP_CLS,IMP_GSSL,IMP_BL,IMP_BTE,IMP_AWAC,IMP_PWAC,IMP_OLS,DS_CMS,DS_CMSOQ,DS_CMSGB,DS_CMSAS,DS_GAIT,DS_SGAIT,DS_LRS,DS_LIAC,DS_LDL,DS_LSG,DS_LC,DS_LEC,DS_ILL,DS_LDB,DS_FPC,DS_CFCPS,DS_GSSL,DS_BL,DS_BTE,DS_AWAC,DS_PWAC,DS_OLS,AAG_TUC,EITS,ELS,INF_ATS,INF_AAT,INF_ATRW,INF_GAIT,AP_GAIT,SKL_CMS,SKL_GAIT,LRN_CMS,LRN_GAIT,LRN_OOO,LRN_WTS,LRN_PGL,LRN_SDD,LRN_SDOT,LRN_TE,YEAR,ADIV,AGE,NOTFGEN,COMMENT
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,"Over the course of a semester, on average, how often do you use the following services? - Canvas","Over the course of a semester, on average, how often do you use the following services? - Canvas online quizzes","Over the course of a semester, on average, how often do you use the following services? - Canvas grade book","Over the course of a semester, on average, how often do you use the following services? - Canvas assignment submission","Over the course of a semester, on average, how often do you use the following services? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes","Over the course of a semester, on average, how often do you use the following services? - Library reference/research services","Over the course of a semester, on average, how often do you use the following services? - LibrarySearch (go/primo)","Over the course of a semester, on average, how often do you use the following services? - Library Subject Guides (go/guides)","Over the course of a semester, on average, how often do you use the following services? - Physical library collections","Over the course of a semester, on average, how often do you use the following services? - Library e-book collections","Over the course of a semester, on average, how often do you use the following services? - Interlibrary loan","Over the course of a semester, on average, how often do you use the following services? - Library databases (e.g. JSTOR)","Over the course of a semester, on average, how often do you use the following services? - Technology help desk","Over the course of a semester, on average, how often do you use the following services? - Group study spaces in the library","Over the course of a semester, on average, how often do you use the following services? - Borrowing laptops","Over the course of a semester, on average, how often do you use the following services? - Borrowing technology equipment",How important are these services to you? - Canvas,How important are these services to you? - Canvas online quizzes,How important are these services to you? - Canvas grade book,How important are these services to you? - Canvas assignment submission,"How important are these services to you? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes","How important are these services to you? - Support for the use of Generative AI Tools (e.g., ChatGPT, Bard, ChatPDF)",How important are these services to you? - Library reference/research services,How important are these services to you? - Library research instruction for academic courses,How important are these services to you? - LibrarySearch (go/primo),How important are these services to you? - Library Subject Guides (go/guides),How important are these services to you? - Physical library collections,How important are these services to you? - Library e-book collections,How important are these services to you? - Interlibrary loan,How important are these services to you? - Library databases (e.g. JSTOR),How important are these services to you? - Technology help desk,How important are these services to you? - Technology help desk schedule,How important are these services to you? - The library schedule,How important are these services to you? - Group study spaces in the library,How important are these services to you? - Borrowing laptops,How important are these services to you? - Borrowing technology equipment,How important are these services to you? - Availability of wireless access on campus,How important are these services to you? - Performance of wireless access on campus,How important are these services to you? - Overall library service,How dissatisfied or satisfied are you with the following resources and services? - Canvas,How dissatisfied or satisfied are you with the following resources and services? - Canvas online quizzes,How dissatisfied or satisfied are you with the following resources and services? - Canvas grade book,How dissatisfied or satisfied are you with the following resources and services? - Canvas assignment submission,"How dissatisfied or satisfied are you with the following resources and services? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF) for academic or work purposes","How dissatisfied or satisfied are you with the following resources and services? - Support for the use of Generative AI Tools (e.g., ChatGPT, Bard, ChatPDF)",How dissatisfied or satisfied are you with the following resources and services? - Library reference/research services,How dissatisfied or satisfied are you with the following resources and services? - Library research instruction for academic courses,How dissatisfied or satisfied are you with the following resources and services? - LibrarySearch (go/primo),How dissatisfied or satisfied are you with the following resources and services? - Library Subject Guides (go/guides),How dissatisfied or satisfied are you with the following resources and services? - Physical library collections,How dissatisfied or satisfied are you with the following resources and services? - Library e-book collections,How dissatisfied or satisfied are you with the following resources and services? - Interlibrary loan,How dissatisfied or satisfied are you with the following resources and services? - Library databases (e.g. JSTOR),How dissatisfied or satisfied are you with the following resources and services? - Technology help desk,How dissatisfied or satisfied are you with the following resources and services? - Technology help desk schedule,How dissatisfied or satisfied are you with the following resources and services? - Group study spaces in the library,How dissatisfied or satisfied are you with the following resources and services? - Borrowing laptops,How dissatisfied or satisfied are you with the following resources and services? - Borrowing technology equipment,How dissatisfied or satisfied are you with the following resources and services? - Availability of wireless access on campus,How dissatisfied or satisfied are you with the following resources and services? - Performance of wireless access on campus,How dissatisfied or satisfied are you with the following resources and services? - Overall library service,How much do the following contribute to the achievement of your academic goals? - Technology used in courses and classrooms,What one thing would you like to see done to enhance information technology services? (Please limit your response to 250 characters or less.),What one thing would you like to see done to enhance library services? (Please limit your response to 250 characters or less.),How informed do you feel you are about the following? - Available technology services,How informed do you feel you are about the following? - Availability of assistive technologies to address disabilities,How informed do you feel you are about the following? - Availability of technology learning resources and workshops,"How informed do you feel you are about the following? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)","How do you use the following tools, if at all? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",How would you describe your skill level with the following? - Canvas,"How would you describe your skill level with the following? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",How interested are you in learning more about the following? - Canvas,"How interested are you in learning more about the following? - Generative AI tools (e.g., ChatGPT, Bard, ChatPDF)",How interested are you in learning new technical or research skills by the following methods? - One-on-one instruction,How interested are you in learning new technical or research skills by the following methods? - Workshop/Training Session,How interested are you in learning new technical or research skills by the following methods? - Peer group learning,How interested are you in learning new technical or research skills by the following methods? - Self-directed with documentation,How interested are you in learning new technical or research skills by the following methods? - Self-directed with online tutorial,How interested are you in learning new technical or research skills by the following methods? - Trial and error,What is your expected year of graduation?,What is your primary academic division?,What is your age?,Do you have a parent or legal guardian with a 4-year college degree?,Do you have any additional comments or suggestions?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_82""}","{""ImportId"":""QID1_83""}","{""ImportId"":""QID1_84""}","{""ImportId"":""QID1_88""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_8""}","{""ImportId"":""QID1_9""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID1_11""}","{""ImportId"":""QID1_12""}","{""ImportId"":""QID1_13""}","{""ImportId"":""QID1_15""}","{""ImportId"":""QID1_29""}","{""ImportId"":""QID1_31""}","{""ImportId"":""QID1_32""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_135""}","{""ImportId"":""QID3_136""}","{""ImportId"":""QID3_137""}","{""ImportId"":""QID3_141""}","{""ImportId"":""QID3_142""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID3_14""}","{""ImportId"":""QID3_15""}","{""ImportId"":""QID3_16""}","{""ImportId"":""QID3_17""}","{""ImportId"":""QID3_18""}","{""ImportId"":""QID3_19""}","{""ImportId"":""QID3_21""}","{""ImportId"":""QID3_22""}","{""ImportId"":""QID3_38""}","{""ImportId"":""QID3_41""}","{""ImportId"":""QID3_45""}","{""ImportId"":""QID3_46""}","{""ImportId"":""QID3_47""}","{""ImportId"":""QID3_48""}","{""ImportId"":""QID3_69""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_135""}","{""ImportId"":""QID4_136""}","{""ImportId"":""QID4_137""}","{""ImportId"":""QID4_141""}","{""ImportId"":""QID4_142""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_14""}","{""ImportId"":""QID4_15""}","{""ImportId"":""QID4_16""}","{""ImportId"":""QID4_17""}","{""ImportId"":""QID4_18""}","{""ImportId"":""QID4_19""}","{""ImportId"":""QID4_21""}","{""ImportId"":""QID4_22""}","{""ImportId"":""QID4_41""}","{""ImportId"":""QID4_45""}","{""ImportId"":""QID4_46""}","{""ImportId"":""QID4_47""}","{""ImportId"":""QID4_48""}","{""ImportId"":""QID4_69""}","{""ImportId"":""QID39_6""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_16""}","{""ImportId"":""QID5_14""}","{""ImportId"":""QID5_18""}","{""ImportId"":""QID16_45""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID20_38""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_38""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID34""}","{""ImportId"":""QID54""}","{""ImportId"":""QID30""}","{""ImportId"":""QID51""}","{""ImportId"":""QID32_TEXT""}"
3/7/2024 7:46,3/7/2024 7:51,0,100,283,1,3/7/2024 7:51,email,EN,5,4,4,5,3,3,1,1,1,2,2,3,1,3,1,2,4,4,4,4,3,3,3,1,1,1,1,3,3,3,2,2,2,3,3,3,4,4,3,4,4,4,4,3,2,3,2,2,3,2,4,2,3,-99,-99,3,-99,3,4,4,3,4,-99,-99,2,1,1,2,2,4,2,3,3,1,2,1,2,3,3,2025,40200,20,1,-99
3/7/2024 7:45,3/7/2024 7:51,0,100,398,1,3/7/2024 7:51,email,EN,5,1,4,4,1,1,1,1,1,1,1,4,1,3,1,1,4,1,4,4,2,3,2,2,2,2,2,2,3,3,3,4,4,4,3,2,4,4,3,4,4,4,4,2,2,2,2,-99,-99,-99,-99,-99,4,4,4,3,2,-99,3,3,4,4,-99,-99,1,1,1,1,9,5,1,1,3,1,3,1,2,1,2,2024,50300,21,1,-99
3/7/2024 7:54,3/7/2024 7:58,0,100,210,1,3/7/2024 7:58,email,EN,5,1,1,3,1,4,4,2,3,1,2,4,1,2,1,1,4,-99,-99,4,-99,1,4,4,4,2,4,2,4,4,2,2,3,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-99,-99,1,1,1,1,5,4,2,4,2,2,2,1,2,1,4,2025,100800,20,1,-99
3/7/2024 7:58,3/7/2024 8:04,0,100,367,1,3/7/2024 8:04,email,EN,5,5,5,5,3,1,2,1,1,2,2,2,1,2,2,2,4,4,4,4,2,2,1,1,2,1,1,2,2,3,2,1,1,2,2,2,4,4,3,4,4,4,4,3,2,-99,-99,-99,-99,-99,-99,4,4,4,4,4,4,4,4,4,4,4,-99,-99,3,2,2,2,2,4,3,1,2,1,1,1,1,1,3,2026,100800,20,1,-99
3/7/2024 7:59,3/7/2024 8:07,0,100,520,1,3/7/2024 8:07,email,EN,5,1,2,4,4,4,3,2,3,3,3,2,1,2,1,1,3,1,1,2,2,1,2,3,2,2,4,3,3,4,2,2,3,3,3,3,4,3,3,4,4,2,-99,4,4,4,4,4,3,3,3,3,3,3,3,4,2,2,3,3,4,4,-99,Promote things like students availbility to check out technology and tech equipment.,2,1,1,2,3,3,3,1,2,2,2,1,1,1,3,2024,40200,21,1,-99
3/7/2024 8:02,3/7/2024 8:12,0,100,596,1,3/7/2024 8:12,email,EN,5,2,4,4,3,2,1,2,1,3,2,2,2,4,1,1,4,3,4,4,3,4,3,3,2,4,3,4,4,4,4,3,4,4,-99,-99,4,4,4,4,3,3,4,3,3,3,2,3,4,3,4,4,4,3,3,4,-99,-99,3,2,4,4,actually helping you through the entire process instead of just giving you a go/ link and telling you to come back if you have any questions,more book availability on online data bases as to reduce need for inter library loans,2,1,2,3,2,4,4,1,2,2,1,1,2,2,3,2027,100800,18,1,-99
3/7/2024 8:14,3/7/2024 8:19,0,100,311,1,3/7/2024 8:19,email,EN,5,4,4,5,3,3,2,2,2,2,2,4,2,1,3,3,4,3,3,4,2,1,3,2,3,2,3,3,3,4,2,2,2,1,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,2,2,3,4,4,4,4,4,4,-99,-99,2,1,1,2,3,4,2,2,2,1,2,1,3,3,2,2026,40200,19,1,-99
3/7/2024 8:03,3/7/2024 8:19,0,100,945,1,3/7/2024 8:19,email,EN,5,1,2,4,5,5,4,2,3,4,2,4,2,5,1,2,4,2,2,3,3,4,4,4,4,4,3,4,3,4,3,3,3,4,2,2,4,4,4,4,4,4,4,3,2,3,3,3,3,3,2,4,3,4,4,4,4,4,3,4,4,3,More discussion about generative AI. The library should have an affiliated ai subscription for the students and there should be made guidelines for generative ai use and citation in the case that a course/professor allows the use in their class,earlier opening times and later closing times,3,3,3,1,3,4,4,2,4,2,3,3,3,2,2,2027,30100,19,1,you can only select one primary academic division and i have two equally important ones
